,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
181,ofnu,"'Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox'",852,21778,1380,1.1,1.06,13799.0,15179.0
182,AnJ,"'NRG', 'Singularity', 'Tricked'",403,10503,763,1.11,1.06,6936.0,7699.0
183,Ethan,"'NRG', 'CLG', 'Evil Geniuses'",986,25998,1488,1.09,1.06,16533.0,18021.0
184,Happy,"'Envy', 'LDLC'",1464,37933,2745,1.11,1.06,24954.0,27699.0
185,acoR,"'Tricked', 'North Academy', 'MAD Lions', 'MOUZ'",1057,27637,1982,1.11,1.06,18018.0,20000.0
186,flying,'Invictus',402,10750,555,1.08,1.06,6937.0,7492.0
187,SHiPZ,"'SKADE', 'Windigo'",1653,44052,2145,1.07,1.06,30642.0,32787.0
188,COLDYY1,'Spirit',947,24917,1718,1.11,1.06,15618.0,17336.0
189,SLOWLY,"'TYLOO', 'EHOME'",523,13867,679,1.07,1.06,9699.0,10378.0
190,Valiance,"'ORDER', 'Paradox'",646,16727,1090,1.1,1.06,10899.0,11989.0
191,b4rtiN,"'GODSENT', 'TeamOne'",519,13592,889,1.1,1.06,8889.0,9778.0
192,Skadoodle,'Cloud9',1047,27129,2458,1.15,1.06,16386.0,18844.0
193,pancc,"'W7M', 'Sharks'",581,15327,787,1.08,1.06,9837.0,10624.0
194,Maka,"'Heretics', 'LDLC', '3DMAX'",1177,31287,2089,1.1,1.06,20889.0,22978.0
195,koosta,"'CLG', 'Ghost', 'Gen.G', 'Enemy'",977,25766,1341,1.08,1.06,16762.0,18103.0
196,suNny,"'ENCE', 'MOUZ', 'PENTA'",1311,34560,1609,1.07,1.06,22985.0,24594.0
197,tucks,'Chiefs',718,18208,1227,1.1,1.06,12269.0,13496.0
198,TOR,"'Signature', 'Beyond'",452,11472,657,1.09,1.06,7299.0,7956.0
199,olofmeister,"'fnatic', 'FaZe'",1560,40776,2696,1.1,1.06,26959.0,29655.0
200,malbsMd,"'TeamOne', 'Infinity'",525,13434,369,1.04,1.06,9224.0,9593.0
201,nexa,"'G2', 'Valiance', 'Imperial'",1231,32586,2160,1.1,1.05,21599.0,23759.0
202,Gratisfaction,"'Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM'",897,23347,1689,1.12,1.05,14074.0,15763.0
203,KEi,"'AVEZ', 'Anonymo', 'Sprout'",633,17036,650,1.05,1.05,12999.0,13649.0
204,REDSTAR,"'Fiend', 'Bpro'",618,16408,1150,1.11,1.05,10454.0,11604.0
205,Rainwaker,'SKADE',1085,29262,1894,1.1,1.05,18939.0,20833.0
206,rallen,"'Kinguin', 'AGO'",1749,46699,2997,1.1,1.05,29969.0,32966.0
207,bottle,"'Born Of Fire', 'Eclipse', 'Invictus', '5POWER', 'CyberZen'",768,19801,871,1.06,1.05,14516.0,15387.0
208,ISSAA,"'HellRaisers', 'OG'",870,22834,1402,1.09,1.05,15577.0,16979.0
