,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
376,roca,"'Splyce', 'Echo Fox', 'Complexity', 'ELEVATE'",660,17324,195,1.02,1.02,9749.0,9944.0
377,flickz,"'Chiefs', 'Athletico', 'Dark Sided'",461,11606,357,1.05,1.02,7139.0,7496.0
378,es3tag,"'Heroic', 'Tricked'",1302,34110,807,1.04,1.01,20174.0,20981.0
379,xCeeD,"'The Quest', 'Triumph', 'SoaR'",438,11341,167,1.02,1.01,8349.0,8516.0
380,chrisJ,'MOUZ',1727,45400,1085,1.04,1.01,27124.0,28209.0
381,aproto,"'CLG Academy', 'Vision', 'BlackOut'",383,10053,85,1.01,1.01,8499.0,8584.0
382,Nodios,"'Copenhagen Flames', 'x6tence'",718,19257,529,1.04,1.01,13224.0,13753.0
383,Jyo,'Nemiga',1165,31131,985,1.05,1.01,19699.0,20684.0
384,bedonka,"'Paradox', 'SYF'",379,9815,123,1.02,1.01,6149.0,6272.0
385,Zyphon,'Copenhagen Flames',415,10947,300,1.04,1.01,7499.0,7799.0
386,Voltage,"'The Quest', 'Triumph', 'SoaR', 'Dignitas'",420,10848,509,1.08,1.01,6362.0,6871.0
387,delboNi,"'Imperial', 'Case', 'Yeah'",519,13450,318,1.04,1.01,7949.0,8267.0
388,Kylar,"'AVEZ', 'Anonymo'",577,15557,315,1.03,1.01,10499.0,10814.0
389,byali,"'Virtus.pro', 'AVEZ'",1841,48359,1333,1.04,1.01,33324.0,34657.0
390,tatazin,"'paiN', 'Wild', 'Yeah', 'BigGods'",762,19976,995,1.08,1.01,12437.0,13432.0
391,GruBy,"'AGO', 'AGG'",1644,43738,753,1.03,1.01,25099.0,25852.0
392,desi,"'Winterfox', 'Complexity', 'SKDC'",430,10986,99,1.01,1.01,9899.0,9998.0
393,shokz,"'Finest', 'Movistar Riders'",610,16254,339,1.03,1.01,11299.0,11638.0
394,b0RUP,"'Tricked', 'Heroic', 'MAD Lions'",1405,37152,465,1.02,1.01,23249.0,23714.0
395,HUGHMUNGUS,"'Chiefs', 'Legacy', 'Genuine', 'Funky Monkeys'",743,19269,474,1.04,1.01,11849.0,12323.0
396,PlesseN,"'Galaxy Racer', 'Chaos', 'Japaleno', 'Red Reserve', 'fnatic Academy'",1263,33840,211,1.01,1.01,21099.0,21310.0
397,kreaz,"'Finest', 'Apeks', 'Epsilon'",700,18596,559,1.05,1.01,11179.0,11738.0
398,Maikelele,"'NoChance', 'GODSENT'",1067,28134,945,1.05,1.01,18899.0,19844.0
399,Lekr0,"'Dignitas', 'NIP', 'fnatic', 'GODSENT'",1302,34804,774,1.03,1.01,25799.0,26573.0
400,mitch,"'Selfless', 'Bad News Bears', 'Dignitas', 'Riot Squad'",807,20719,632,1.05,1.01,12639.0,13271.0
401,SHOCK,'SINNERS',675,18121,421,1.04,1.01,10524.0,10945.0
402,hampus,"'NIP', 'GamerLegion', 'Red Reserve', 'GODSENT'",1357,36082,243,1.01,1.01,24299.0,24542.0
403,jedqr,"'Wisla Krakow', 'x-kom'",819,22194,590,1.04,1.01,14749.0,15339.0
404,Noobster,"'Ground Zero', 'Paradox', 'SYF'",496,12790,203,1.02,1.01,10149.0,10352.0
405,Viva,"'Invictus', '5POWER', 'CyberZen'",597,15834,480,1.05,1.01,9599.0,10079.0
406,Swisher,"'Bad News Bears', 'Yeah'",580,15133,182,1.02,1.01,9099.0,9281.0
407,obj,"'OFFSET', 'eXploit', 'Giants', 'AlienTech'",418,10936,423,1.06,1.01,7049.0,7472.0
408,1962,"'Isurus', 'Leviatan'",572,14881,-12,1.0,1.01,,
409,spyleadeR,"'E-frag.net', 'MK', 'GPlay'",899,23232,93,1.01,1.01,9299.0,9392.0
410,ap0c,"'Looking For Org', 'AVANT', 'Tainted Minds', 'Chiefs'",915,23424,265,1.02,1.01,13249.0,13514.0
411,EasTor,"'Movistar Riders', 'OFFSET'",493,13123,345,1.04,1.01,8624.0,8969.0
412,stadodo,"'SAW', 'OFFSET'",761,20009,598,1.05,1.01,11959.0,12557.0
413,arT,'FURIA',978,25368,129,1.01,1.01,12899.0,13028.0
414,mirbit,"'ALTERNATE aTTaX', 'EURONICS', 'Sprout', 'Nordavind'",866,23162,926,1.06,1.01,15433.0,16359.0
415,Friis,"'SK', 'fnatic', 'Heroic', 'Tricked'",938,24254,747,1.05,1.01,14939.0,15686.0
416,grux,"'Savage', 'Red Reserve', 'SMASH'",490,13084,238,1.03,1.01,7933.0,8171.0
417,dazzLe,"'eUnited', 'Rise Nation', 'New Identity'",690,17971,-8,1.0,1.01,,
418,ayaya,"'Eclipse', 'Born Of Fire', 'Flash', 'AllGamers'",462,11695,102,1.01,1.01,10199.0,10301.0
419,reatz,"'PRIDE', 'Illuminar', 'Kinguin'",1510,40591,733,1.03,1.01,24433.0,25166.0
420,Stewie2K,"'Cloud9', 'Liquid'",1525,39802,376,1.01,1.01,37599.0,37975.0
421,kalinka,"'HellRaisers', 'Playing Ducks'",855,22891,157,1.01,1.01,15699.0,15856.0
422,Jinxx,"'Genuine', 'Taboo', 'Chiefs'",400,10511,283,1.04,1.01,7074.0,7357.0
423,siuhy,"'MOUZ NXT', 'Izako Boars'",478,12807,43,1.0,1.01,,
424,to1nou,"'LDLC', 'LDLC White'",850,22377,520,1.04,1.01,12999.0,13519.0
425,DickStacy,"'Grayhound', 'Dark Sided'",624,15708,346,1.03,1.01,11533.0,11879.0
426,jR,"'Vega Squadron', 'HellRaisers'",892,23804,554,1.04,1.01,13849.0,14403.0
427,zqkS,"'Imperial', 'Yeah', 'Keyd'",755,19530,722,1.06,1.01,12033.0,12755.0
428,DESPE,'Space Soldiers',468,12127,320,1.04,1.01,7999.0,8319.0
429,kioShiMa,"'Envy', 'Heretics', 'FaZe'",1495,39250,1292,1.05,1.01,25839.0,27131.0
430,speed4k,"'DreamEaters', 'Nemiga'",767,20579,568,1.04,1.01,14199.0,14767.0
431,FugLy,"'NRG', 'Liquid', 'Envy'",1083,28153,621,1.03,1.01,20699.0,21320.0
432,emagine,"'ORDER', 'Kings', 'Winterfox', 'Immunity'",751,18931,487,1.04,1.01,12174.0,12661.0
433,Polt,"'1WIN', 'Unique'",510,13490,417,1.05,1.01,8339.0,8756.0
434,Nifty,"'Renegades', 'Envy', 'Selfless'",865,22686,310,1.02,1.01,15499.0,15809.0
435,Tsogoo,"'TheMongolz', 'Mazaalai'",472,12038,137,1.02,1.0,6849.0,6986.0
436,MINISE,"'PACT', 'PRIDE', 'Kinguin'",1871,49905,605,1.02,1.0,30249.0,30854.0
437,waterfaLLZ,"'Quantum Bellator Fire', 'PiTER', 'AVE', 'EPG'",899,23842,341,1.02,1.0,17049.0,17390.0
438,pounh,"'Playing Ducks', 'Imperial', '1337HUANIA'",401,10552,91,1.01,1.0,9099.0,9190.0
439,Zero,"'GamerLegion', 'HellRaisers'",1070,28470,765,1.04,1.0,19124.0,19889.0
440,innocent,"'Anonymo', 'Illuminar', 'CSGL'",1755,46195,542,1.02,1.0,27099.0,27641.0
441,Relyks,"'eUnited', 'Enemy', 'Selfless', 'New Identity'",832,21258,161,1.01,1.0,16099.0,16260.0
442,fenvicious,"'Unique', 'Spirit Academy', 'EPG'",729,19059,141,1.01,1.0,14099.0,14240.0
443,glace,"'North Academy', 'Tricked', 'Rogue', 'No Problem!'",589,15307,366,1.04,1.0,9149.0,9515.0
444,Oderus,"'Spacestation', 'BlackOut', 'The Pioneers'",473,12356,-52,0.99,1.0,5199.0,5147.0
445,1uke,"'Spirit Academy', 'HOLLYWOOD', 'PLINK'",623,16179,223,1.02,1.0,11149.0,11372.0
446,Edward,'Natus Vincere',1473,38787,689,1.03,1.0,22966.0,23655.0
447,leo_drk,"'Sharks', '00NATION'",597,15378,31,1.0,1.0,,
448,R0b3n,"'Unique', 'Space Jam', 'ex-ETHEREAL'",526,13849,235,1.03,1.0,7833.0,8068.0
449,Lack1,"'Entropiq', 'Winstrike'",881,23558,103,1.01,1.0,10299.0,10402.0
450,SIXER,"'LDLC', 'Envy'",1084,28593,963,1.05,1.0,19259.0,20222.0
451,hazed,"'CLG', 'Mythic'",736,19138,-81,0.99,1.0,8099.0,8018.0
452,xiaosaGe,"'5POWER', 'Invictus', 'UYA'",847,22333,35,1.0,1.0,,
453,ALLE,"'Isurus', 'Liberty', 'Redemption POA', 'C4'",409,10862,122,1.02,1.0,6099.0,6221.0
454,nitr0,'Liquid',1381,35984,561,1.02,1.0,28049.0,28610.0
455,kenzor,'pro100',598,15627,57,1.01,1.0,5699.0,5756.0
456,Djoko,"'HEET', 'DBL PONEY'",459,12166,5,1.0,1.0,,
457,almazer,'forZe',1307,35123,576,1.03,1.0,19199.0,19775.0
458,cbbk,"'Lucid Dream', 'Beyond'",404,10342,163,1.02,1.0,8149.0,8312.0
459,dzt,"'Imperial', 'Case', 'BigGods'",676,17504,148,1.01,1.0,14799.0,14947.0
460,KILLDREAM,"'AlienTech', 'k1ck', 'Giants'",429,11159,-16,1.0,1.0,,
461,Basso,'Copenhagen Flames',582,15218,265,1.03,1.0,8833.0,9098.0
462,RoLEX,"'Signature', 'ZIGMA', 'Beyond', 'MiTH'",492,12610,33,1.0,1.0,,
463,zeff,'MVP PK',482,12229,54,1.01,1.0,5399.0,5453.0
464,cromen,'Nordavind',653,17335,67,1.01,1.0,6699.0,6766.0
465,SZPERO,"'Wisla Krakow', 'Kinguin', 'AGO'",2058,54420,850,1.02,1.0,42499.0,43349.0
466,adreN,"'Liquid', 'Mythic'",697,18241,380,1.03,1.0,12666.0,13046.0
467,supra,"'Gambit Youngsters', 'Nordavind'",531,14249,65,1.01,1.0,6499.0,6564.0
468,xseveN,"'HAVU', 'ENCE', 'iGame.com', 'RCTIC'",1275,33704,360,1.02,1.0,17999.0,18359.0
469,mopoz,'Movistar Riders',1108,29419,-46,1.0,1.0,,
470,void,"'Ground Zero', 'Dark Sided'",437,11368,127,1.02,1.0,6349.0,6476.0
471,pyth,"'NIP', 'Vexed'",756,19801,-5,1.0,1.0,,
472,mds,'Nemiga',1087,29074,459,1.02,1.0,22949.0,23408.0
473,MODDII,"'Heroic', 'SK'",1170,30550,401,1.02,1.0,20049.0,20450.0
474,ImpressioN,"'NKT', 'BOOT-d[S]', 'BTRG', 'dream[S]cape'",674,17451,106,1.01,1.0,10599.0,10705.0
475,cam,"'Singularity', 'Gorilla Gang', 'Chaos'",544,13974,169,1.02,1.0,8449.0,8618.0
476,freakazoid,"'Swole Patrol', 'Cloud9', 'Echo Fox'",886,22716,43,1.0,1.0,,
477,peet,"'AGG', 'Vexed', 'SEAL', 'eBettle'",379,9993,97,1.01,1.0,9699.0,9796.0
478,STYKO,"'HellRaisers', 'MOUZ', 'GODSENT'",1532,40373,448,1.02,1.0,22399.0,22847.0
479,pecks,'Chiefs',389,9930,162,1.03,1.0,5399.0,5561.0
480,Cabbi,"'MASONIC', 'Lyngby Vikings', 'AGF'",438,11688,-122,0.99,1.0,12199.0,12077.0
481,Noktse,'Isurus',775,20277,241,1.02,1.0,12049.0,12290.0
482,Liki,"'Looking For Org', 'Dire Wolves', 'Bizarre', 'Skyfire'",388,9830,210,1.03,1.0,6999.0,7209.0
483,magixx,'Spirit',624,16486,314,1.03,1.0,10466.0,10780.0
484,truth,"'Apeks', 'ATK', 'Vexed'",479,12857,49,1.01,1.0,4899.0,4948.0
485,vice,"'Rogue', 'Cloud9'",493,12707,128,1.01,1.0,12799.0,12927.0
486,Bååten,"'x6tence Galaxy', 'Red Reserve', 'fnatic Academy', 'Chaos'",738,19661,39,1.0,1.0,,
487,Jerry,'forZe',1538,41337,350,1.01,1.0,34999.0,35349.0
488,xelos,"'Lemondogs', 'Epsilon', 'AliGon'",433,11435,28,1.0,1.0,,
489,uli,'KOVA',560,15011,198,1.02,1.0,9899.0,10097.0
490,reversive,"'Leviatan', 'Isurus'",612,16009,150,1.01,0.99,14999.0,15149.0
491,freddieb,"'Epsilon', 'GODSENT', 'Red Reserve'",1135,30119,180,1.01,0.99,17999.0,18179.0
492,SEMPHIS,"'Splyce', 'TSM', 'Complexity'",848,21936,-33,1.0,0.99,,
493,dephh,'Complexity',768,20106,-232,0.98,0.99,11599.0,11367.0
494,MUTiRiS,"'SAW', 'k1ck', 'Giants'",1206,31501,162,1.01,0.99,16199.0,16361.0
495,DeathZz,'Movistar Riders',483,12896,133,1.02,0.99,6649.0,6782.0
496,Vegi,"'Virtus.pro', 'PACT', 'Illuminar'",775,21174,-131,0.99,0.99,13099.0,12968.0
497,robiin,"'Endpoint', 'DenDD'",1502,40013,-52,1.0,0.99,,
498,YDNA,"'Breakaway', 'Funky Monkeys', 'Dark Sided'",435,11265,103,1.01,0.99,10299.0,10402.0
499,gMd,"'Rogue', 'FRENCH CANADIANS', 'LiViD', 'Spacestation'",464,12098,-47,0.99,0.99,4699.0,4652.0
500,ALEX,"'LDLC', 'Vitality', 'fnatic'",1162,30750,-372,0.98,0.99,18599.0,18227.0
501,notaN,"'MASONIC', 'Singularity', 'OPAA', 'Alpha'",424,11256,46,1.01,0.99,4599.0,4645.0
502,markeloff,"'FlipSid3', 'HellRaisers'",1143,29624,488,1.03,0.99,16266.0,16754.0
503,VINI,'FURIA',975,25398,33,1.0,0.99,,
504,Puls3,"'Endpoint', 'FMESPORTS'",436,11572,74,1.01,0.99,7399.0,7473.0
505,neptune,"'Ghost', ""Bee's Money Crew"", 'Recon 5'",498,13218,-23,1.0,0.99,,
506,rbz,"'Paradox', 'Corvidae'",647,16903,138,1.01,0.99,13799.0,13937.0
507,BENDJI,"'Singularity', 'DenDD'",878,23318,137,1.01,0.99,13699.0,13836.0
508,dukefissura,"'Unique', '100PG'",381,10223,-117,0.98,0.99,5849.0,5732.0
509,jaxi,'Nexus',472,12125,183,1.02,0.99,9149.0,9332.0
510,BARBARR,"'Epsilon', 'x6tence Galaxy', 'Singularity'",876,23180,-20,1.0,0.99,,
511,realz1n,"'W7M', 'Sharks', 'FURIA Academy'",555,14699,103,1.01,0.99,10299.0,10402.0
512,kory,"'Sangal', 'Budapest Five', 'Salamander'",462,12291,-78,0.99,0.99,7799.0,7721.0
513,Dima,"'Spirit', 'Espada'",1310,34466,-527,0.98,0.99,26349.0,25822.0
514,JIaYm,"'HellRaisers', 'bankaPEPSI'",523,14183,-291,0.97,0.99,9699.0,9408.0
515,ANGE1,'HellRaisers',1728,45027,-685,0.98,0.99,34249.0,33564.0
516,kaboose,"'Selfless', 'Vision'",549,14235,-305,0.97,0.99,10166.0,9861.0
517,bubble,"'Windigo', 'E-frag.net', 'Fiend'",2177,57121,704,1.02,0.99,35199.0,35903.0
518,morelz,"'PRIDE', 'Virtus.pro'",1066,28354,-217,0.99,0.99,21699.0,21482.0
519,facecrack,"'forZe', 'PiTER'",1686,45000,-727,0.98,0.99,36349.0,35622.0
520,Drone,"'Splyce', 'Envy'",454,11841,-168,0.98,0.99,8399.0,8231.0
521,krii,"'EPG', 'Wolsung'",398,10522,5,1.0,0.99,,
522,djay,"'Party Astronauts', 'New England Whalers'",827,21378,-33,1.0,0.99,,
523,k1to,"'BIG', 'ALTERNATE aTTaX', 'Sprout'",1215,32305,-378,0.98,0.99,18899.0,18521.0
524,sXe,"'Nexus', 'XPC'",567,14684,-56,0.99,0.99,5599.0,5543.0
525,Dosia,"'Gambit', 'HellRaisers'",1431,37517,293,1.01,0.99,29299.0,29592.0
526,vanity,"'Chaos', 'eUnited', 'Gorilla Gang'",609,15688,80,1.01,0.99,7999.0,8079.0
527,JACKZ,"'G2', 'EnVyUs Academy', '3DMAX'",1068,28401,-118,0.99,0.99,11799.0,11681.0
528,fitch,"'AVANGAR', 'Tengri', 'Gambit'",574,15207,-210,0.98,0.99,10499.0,10289.0
529,gade,"'North', 'North Academy', 'OpTic'",964,25326,-128,0.99,0.99,12799.0,12671.0
530,SAGGERTON,"'iGame.com', 'RCTIC', 'LGR'",540,14097,-231,0.98,0.99,11549.0,11318.0
531,larsen,"'Tricked', 'Movistar Riders'",607,16049,141,1.01,0.99,14099.0,14240.0
532,jabbi,"'Copenhagen Flames', 'Singularity'",767,20580,75,1.01,0.99,7499.0,7574.0
533,Lukki,"'Tricked', 'AGF', 'Singularity'",893,23437,-9,1.0,0.99,,
534,rmn,"'SAW', 'k1ck', 'Giants'",1100,28738,-64,1.0,0.99,,
535,pesadelo,"'TeamOne', 'RED Canids'",584,15257,-245,0.98,0.99,12249.0,12004.0
536,AZR,"'Renegades', '100 Thieves', 'EXTREMUM'",1093,28528,-175,0.99,0.99,17499.0,17324.0
537,ryotzz,'W7M',447,11613,-154,0.98,0.99,7699.0,7545.0
538,J1rah,"'ORDER', 'Breakaway'",782,20288,-14,1.0,0.99,,
539,gla1ve,"'Astralis', 'CPH Wolves'",1649,43332,187,1.01,0.99,18699.0,18886.0
540,DAVEY,"'Splyce', 'Mythic', 'Spacestation'",800,20694,-283,0.98,0.99,14149.0,13866.0
541,Jonji,"'Bad News Bears', 'Rise Nation', 'Chaos'",1061,27190,-453,0.98,0.98,22649.0,22196.0
542,Furlan,'AGO',2078,55329,-615,0.98,0.98,30749.0,30134.0
543,bodyy,"'G2', 'DBL PONEY', 'LDLC'",1297,34380,-255,0.99,0.98,25499.0,25244.0
544,stellar,"'Party Astronauts', 'Vireo.pro', 'Divine', 'AA'",427,10968,26,1.0,0.98,,
545,Xizt,"'NIP', 'fnatic'",1665,42830,507,1.02,0.98,25349.0,25856.0
546,Daffu,"'ECSTATIC', 'Lyngby Vikings', 'Copenhagen Flames'",681,18217,126,1.01,0.98,12599.0,12725.0
547,RUBINO,"'Dignitas', 'Nordavind', 'LGB'",998,26140,-170,0.99,0.98,16999.0,16829.0
548,AdreN,"'Gambit', 'HellRaisers', 'K23'",1767,46454,-217,0.99,0.98,21699.0,21482.0
549,apocdud,"'VERTEX', 'Chiefs', 'Genuine'",726,18826,-62,1.0,0.98,,
550,bew,"'New England Whalers', 'High Coast', 'Yeah'",376,10079,-57,0.99,0.98,5699.0,5642.0
551,Perfecto,"'Natus Vincere', 'Syman'",695,18375,418,1.04,0.98,10449.0,10867.0
552,ryann,"'Singularity', 'Swole Patrol', 'Envy', 'Gorilla Gang'",697,17857,-269,0.98,0.98,13449.0,13180.0
553,Zix,'Bpro',400,10329,-166,0.98,0.98,8299.0,8133.0
554,chop,"'Carpe Diem', 'RBG', 'Kinship'",429,11442,-57,0.99,0.98,5699.0,5642.0
555,NEKIZ,"'paiN', 'Luminosity'",959,25204,-212,0.99,0.98,21199.0,20987.0
556,DeadFox,'HellRaisers',807,21060,-54,1.0,0.98,,
557,NickelBack,"'Entropiq', 'pro100', 'Winstrike'",1355,36025,-33,1.0,0.98,,
558,isak,"'GamerLegion', 'Lilmix'",580,15698,-30,1.0,0.98,,
559,zende,"'DenDD', 'Property'",397,10444,-1,1.0,0.98,,
560,bq,'Lilmix',395,10650,-196,0.97,0.98,6533.0,6337.0
561,Spiidi,"'Sprout', 'MOUZ'",2029,53839,181,1.01,0.98,18099.0,18280.0
562,anger,"'Mythic', 'Winterfox', 'Denial', 'Luminosity'",682,17700,-229,0.98,0.98,11449.0,11220.0
563,WOOD7,"'Bravos', 'MIBR', 'RED Canids'",547,14292,274,1.03,0.98,9133.0,9407.0
564,Llamas,"'Ground Zero', 'Breakaway', 'SYF'",451,11530,-25,1.0,0.98,,
565,doto,"'HAVU', 'ENCE'",648,17287,-184,0.98,0.98,9199.0,9015.0
566,raalz,"'Sprout', 'Lyngby Vikings', 'Ambush'",883,23816,-228,0.99,0.98,22799.0,22571.0
567,tifa,"'Imperial', 'BigGods', 'Keyd'",407,10476,-109,0.98,0.98,5449.0,5340.0
568,kwezz,'Tricked',599,16062,-109,0.99,0.98,10899.0,10790.0
569,wiz,"'Carpe Diem', 'RBG'",471,12523,56,1.01,0.98,5599.0,5655.0
570,BIT,"'TeamOne', '9z', 'Não Tem Como'",727,18792,64,1.01,0.98,6399.0,6463.0
571,SHOOWTiME,"'Luminosity', 'Imperial', 'Tempo Storm'",972,25140,-280,0.98,0.98,13999.0,13719.0
572,syken,"'expert', 'EURONICS'",413,10832,-248,0.97,0.98,8266.0,8018.0
573,sinnopsyy,"'BLINK', 'Secret'",619,16633,-479,0.96,0.98,11974.0,11495.0
574,Radifaction,"'Secret', 'Nordavind', 'NoChance', 'Apeks'",506,13559,-157,0.98,0.98,7849.0,7692.0
575,jnt,'Sharks',628,16249,137,1.01,0.98,13699.0,13836.0
576,prt,"'TeamOne', 'DETONA'",732,18994,-110,0.99,0.98,10999.0,10889.0
577,niki1,"'FATE', 'Bpro', 'Outlaws'",1020,26614,-320,0.98,0.98,15999.0,15679.0
578,BURNRUOk,"'Ground Zero', 'Grayhound', 'Immunity'",860,22168,-518,0.97,0.98,17266.0,16748.0
579,Boombl4,"'Natus Vincere', 'Winstrike', 'Quantum Bellator Fire'",1085,28745,-420,0.98,0.98,20999.0,20579.0
580,Sergiz,"'CR4ZY', 'Project X', 'Akuma', 'Windigo Academy'",456,12110,86,1.01,0.98,8599.0,8685.0
581,PERCY,"'Secret', 'Sprout', 'Tricked'",1030,27376,-400,0.98,0.98,19999.0,19599.0
582,blocker,"'Windigo', 'FATE', 'Bpro'",864,22973,-511,0.97,0.97,17033.0,16522.0
583,RUSH,"'Cloud9', 'Complexity', 'OpTic'",1413,36954,-371,0.99,0.97,37099.0,36728.0
584,Fadey,"'ATK', 'Bravado'",673,17326,-549,0.96,0.97,13724.0,13175.0
585,SPELLAN,"'SKADE', 'Outlaws', 'Windigo', 'Epsilon'",1432,37492,-231,0.99,0.97,23099.0,22868.0
586,DeStRoYeR,"'Invictus', 'EHOME', 'BOOT'",592,15658,-188,0.98,0.97,9399.0,9211.0
587,RpK,"'Vitality', 'Envy', 'Titan', 'G2'",1499,39100,-617,0.98,0.97,30849.0,30232.0
588,mono,"'x-kom', 'Illuminar', 'Izako Boars'",662,17680,-17,1.0,0.97,,
589,ZEDKO,"'SINNERS', 'eXtatus'",1097,29065,-252,0.99,0.97,25199.0,24947.0
590,FinigaN,'Espada',496,13338,84,1.01,0.97,8399.0,8483.0
591,leman,'AGO',486,13115,-135,0.98,0.97,6749.0,6614.0
592,propleh,"'1WIN', 'Monolith', 'Spartak'",392,10418,-98,0.99,0.97,9799.0,9701.0
593,jmqa,"'Quantum Bellator Fire', 'PiTER', 'EPG'",922,24189,-273,0.98,0.97,13649.0,13376.0
594,Keoz,"'Syman', 'LDLC', 'K23'",810,21571,-584,0.96,0.97,14599.0,14015.0
595,seb,"'Ghost', 'New Identity', ""Bee's Money Crew""",603,15586,-224,0.98,0.97,11199.0,10975.0
596,RuStY,"'GamerLegion', 'Singularity', 'Red Reserve'",1287,34770,-374,0.98,0.97,18699.0,18325.0
597,oskarish,"'x-kom', 'Illuminar', 'AGO'",1028,27383,-303,0.98,0.97,15149.0,14846.0
598,Queenix,"'MASONIC', 'x6tence', 'Copenhagen Flames', 'Singularity'",442,11868,-80,0.99,0.97,7999.0,7919.0
599,kUcheR,"'HellRaisers', 'Virtus.pro'",852,22314,-145,0.99,0.97,14499.0,14354.0
600,Marek,"'EHOME', 'After'",415,10887,-140,0.98,0.97,6999.0,6859.0
601,stk,"'Beyond', 'Signature', 'Alpha Red'",591,15136,-223,0.98,0.97,11149.0,10926.0
602,ELUSIVE,'Bravado',397,10059,56,1.01,0.97,5599.0,5655.0
603,ice,"'Unique', '100PG'",430,11515,-241,0.97,0.97,8033.0,7792.0
604,SOKER,"'Movistar Riders', 'x6tence', 'k1ck'",642,16858,-424,0.96,0.97,10599.0,10175.0
605,Drea3er,"'New4', 'FIVE', 'BTRG'",406,10435,-307,0.96,0.97,7674.0,7367.0
606,PKL,"'paiN', 'Luminosity', 'Wild'",1124,29388,-394,0.98,0.97,19699.0,19305.0
607,DEVIL,"'LDLC', 'Envy', 'LDLC White', '3DMAX'",636,16582,-291,0.97,0.97,9699.0,9408.0
608,seized,'Natus Vincere',1507,39658,-592,0.98,0.97,29599.0,29007.0
609,MAIROLLS,"'Alpha Red', 'Beyond', 'NSPR'",495,12791,-213,0.98,0.97,10649.0,10436.0
610,gabesson,"'GameAgents', 'volgare'",441,11654,-264,0.97,0.97,8799.0,8535.0
611,Sapec,'Young Ninjas',428,11466,-362,0.96,0.97,9049.0,8687.0
612,Mayker,"'Genuine', 'Chiefs', 'Surge'",433,11216,-220,0.97,0.97,7333.0,7113.0
613,TMB,"'MAD Lions', 'AGF', 'Copenhagen Flames'",685,18224,-407,0.97,0.97,13566.0,13159.0
614,The eLiVe,"'Enterprise', 'Universe'",470,12703,-181,0.98,0.97,9049.0,8868.0
615,KHRN,"'SJ', 'HAVU'",935,24443,-245,0.98,0.97,12249.0,12004.0
616,Leaf,"'Lucid Dream', 'Maple', 'Signature'",398,10120,-71,0.99,0.97,7099.0,7028.0
617,starix,"'Natus Vincere', 'Spirit'",625,16451,-241,0.98,0.97,12049.0,11808.0
618,chopper,"'Spirit', 'Vega Squadron'",1089,28848,-394,0.98,0.97,19699.0,19305.0
619,reltuC,'CLG',865,22664,-74,1.0,0.97,,
620,Surreal,"'Endpoint', 'Epsilon', 'Complexity'",1507,39489,-721,0.97,0.97,24033.0,23312.0
621,phr,"'Illuminar', 'AGO', 'Virtus.pro'",1291,34592,-403,0.98,0.96,20149.0,19746.0
622,Hyper,"'AGG', 'Vexed', 'Kinguin', 'Izako Boars'",646,16949,-167,0.99,0.96,16699.0,16532.0
623,LUCAS1,"'Immortals', 'Luminosity', 'MIBR', 'Tempo Storm'",943,24480,-481,0.97,0.96,16033.0,15552.0
624,Maniac,"'LDLC', 'Titan'",837,22049,-388,0.97,0.96,12933.0,12545.0
625,SmithZz,"'G2', 'Titan', 'VeryGames', 'Envy', 'LDLC'",1161,30130,-543,0.97,0.96,18099.0,17556.0
626,nafany,"'Gambit Youngsters', 'Gambit'",854,22679,-670,0.96,0.96,16749.0,16079.0
627,ProbLeM,"'HellRaisers', 'bankaPEPSI'",547,14838,-268,0.97,0.96,8933.0,8665.0
628,kaper,"'AGO', 'Kinguin', 'Wisla Krakow', 'adwokacik'",536,14240,-168,0.98,0.96,8399.0,8231.0
629,Walco,"'Carpe Diem', 'RBG'",474,12594,-411,0.95,0.96,8219.0,7808.0
630,SEMINTE,"'Nexus', 'XPC'",663,17364,-441,0.96,0.96,11024.0,10583.0
631,SADDYX,'SJ',647,17350,-363,0.97,0.96,12099.0,11736.0
632,maeVe,"'Tricked', 'Escape', 'Reason'",487,12606,-131,0.98,0.96,6549.0,6418.0
633,Kairi,"'x6tence', 'PENTA'",404,10297,-204,0.97,0.96,6799.0,6595.0
634,Tommy,'BOOT-d[S]',387,9900,-323,0.95,0.96,6459.0,6136.0
635,HOLMES,"'Squared', 'BLUEJAYS'",430,11258,-314,0.96,0.96,7849.0,7535.0
636,stanislaw,"'Evil Geniuses', 'OpTic', 'Complexity', 'Liquid'",1314,33991,-487,0.98,0.96,24349.0,23862.0
637,w1nt3r,"'Unique', '100PG', 'Se7en', 'BOOT-d[S]'",552,14753,-167,0.98,0.96,8349.0,8182.0
638,Aleksib,"'OG', 'ENCE', 'HAVU'",1010,26800,-328,0.98,0.96,16399.0,16071.0
639,bodito,"'Budapest Five', 'Salamander', 'Pixel', 'Sensei'",427,11471,-404,0.95,0.96,8079.0,7675.0
640,nosraC,"'Gaimin Gladiators', 'Rebirth', 'ChocoCheck', 'Recon 5'",461,12164,-372,0.96,0.96,9299.0,8927.0
641,xms,"'Envy', 'Heretics', 'LDLC'",712,18783,-624,0.95,0.96,12479.0,11855.0
642,0i,"'Invictus', 'New4', 'FIVE', 'After'",484,12676,-383,0.96,0.96,9574.0,9191.0
