Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
shz,Bruno Martinelli,O PLANO,24 years,15673,0.51,14241,1.1,77.0,3.2,847,21981,0.71,0.13,0.65,0.1,0.11,1.1,AWPer
paz,Ahmet Karahoca,,25 years,21471,0.513,19561,1.1,75.2,2.5,1147,30130,0.71,0.12,0.65,0.1,0.1,1.06,AWPer
Skadoodle,Tyler Latham,,29 years,18365,0.248,15907,1.15,67.5,2.7,1047,27129,0.68,0.11,0.59,0.09,0.09,1.06,Lurker
koosta,Kenneth Suen,,26 years,18522,0.373,17181,1.08,76.1,3.6,977,25766,0.72,0.12,0.67,0.09,0.1,1.06,AWPer
pancc,Fillipe Martins,,25 years,11462,0.537,10644,1.08,79.9,5.3,602,15875,0.72,0.14,0.67,0.09,0.1,1.11,Support
remix,Victor Monteiro,ODDIK,29 years,9167,0.275,8378,1.09,71.7,2.1,483,12908,0.71,0.09,0.65,0.09,0.09,1.08,Entry Fragger
TOR,Tosapol Saekow,,29 years,8271,0.289,7614,1.09,77.0,2.9,452,11472,0.72,0.12,0.66,0.08,0.09,1.06,Entry Fragger
tucks,Tyler Reilly,Majestic Foghorns,26 years,13116,0.44,11886,1.1,76.0,4.1,727,18442,0.71,0.13,0.64,0.09,0.09,1.06,AWPer
Grim,Michael Wince,Complexity,22 years,19030,0.488,18038,1.05,78.7,3.6,1001,26317,0.72,0.13,0.69,0.12,0.13,1.11,AWPer
suNny,Miikka Kemppi,Believe,28 years,26260,0.474,24637,1.07,80.6,5.0,1353,35708,0.74,0.14,0.69,0.09,0.09,1.05,Support
Krimbo,Karim Moussa,BIG,20 years,8687,0.51,7846,1.11,76.1,7.1,465,12461,0.7,0.12,0.63,0.08,0.1,1.09,AWPer
flying,Peiqi Song,Wings Up,22 years,8377,0.507,7843,1.07,78.8,3.7,429,11438,0.73,0.12,0.69,0.09,0.1,1.09,AWPer
SLOWLY,Kelun Sun,TYLOO,21 years,10944,0.59,10272,1.07,79.0,2.9,569,15083,0.73,0.13,0.68,0.1,0.1,1.11,AWPer
olofmeister,Olof Kajbjer,FaZe,31 years,29175,0.467,26512,1.1,72.8,4.4,1568,40998,0.71,0.13,0.65,0.09,0.08,1.05,AWPer
Sobol,Kamil Sobolewski,HONORIS,25 years,18517,0.52,17052,1.09,78.3,4.2,954,25876,0.72,0.13,0.66,0.08,0.09,1.09,AWPer
rallen,Karol Rodowicz,Into the Breach,28 years,35275,0.433,32076,1.1,82.1,7.5,1827,48883,0.72,0.16,0.66,0.09,0.09,1.05,Support
hardzao,Wesley Lopes,paiN,22 years,14300,0.466,12753,1.12,74.6,4.6,784,20631,0.69,0.13,0.62,0.1,0.1,1.1,AWPer
KEi,Kamil Pietkun,9INE,21 years,15844,0.452,14999,1.06,82.9,4.5,795,21409,0.74,0.14,0.7,0.09,0.09,1.12,Support
flameZ,Shahar Shushan,OG,19 years,9138,0.528,8548,1.07,79.3,6.0,477,12794,0.71,0.14,0.67,0.11,0.11,1.12,Support
bottle,Lei Mao,,29 years,14489,0.568,13618,1.06,79.5,3.6,768,19801,0.73,0.14,0.69,0.1,0.1,1.05,Support
Gratisfaction,Sean Kaiwai,Encore,26 years,16662,0.324,14987,1.11,73.3,3.4,923,24032,0.69,0.12,0.62,0.1,0.1,1.05,AWPer
ISSAA,Issa Murad,,26 years,16229,0.555,14827,1.09,75.7,3.6,870,22834,0.71,0.12,0.65,0.1,0.11,1.05,AWPer
iM,Mihai Ivan,GamerLegion,23 years,16884,0.48,15935,1.06,82.1,3.7,851,22853,0.74,0.13,0.7,0.09,0.09,1.11,AWPer
b1t,Valeriy Vakhovskiy,Natus Vincere,20 years,9957,0.672,9021,1.1,75.5,4.3,538,14303,0.7,0.11,0.63,0.09,0.1,1.11,AWPer
Ramz1kBO$$,Ramazan Bashizov,Golden Knights,23 years,8110,0.33799999999999997,7557,1.07,75.9,1.5,425,11070,0.73,0.1,0.68,0.07,0.08,1.09,AWPer
HZ,Zhen Huang,TSG,32 years,9305,0.494,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12,1.05,In-Game Leader
stavn,Martin Lund,Heroic,20 years,23554,0.43,21879,1.08,81.0,4.3,1217,32382,0.73,0.14,0.68,0.1,0.1,1.12,Support
cajunb,René Borg,,33 years,32080,0.41,29212,1.1,73.5,3.1,1751,45848,0.7,0.12,0.64,0.09,0.1,1.05,AWPer
JW,Jesper Wecksell,EYEBALLERS,27 years,40649,0.36200000000000004,38006,1.07,76.1,4.1,2117,55745,0.73,0.14,0.68,0.08,0.08,1.05,Support
WolfY,Adam Andersson,,24 years,11531,0.33799999999999997,10275,1.12,71.3,3.1,622,16556,0.7,0.1,0.62,0.09,0.1,1.09,AWPer
mou,Rustem Telepov,Forward,31 years,28890,0.27899999999999997,26323,1.1,73.8,4.0,1535,40730,0.71,0.11,0.65,0.08,0.09,1.05,Entry Fragger
tabseN,Johannes Wodarz,BIG,27 years,39469,0.491,37918,1.04,84.5,8.2,2045,54077,0.73,0.16,0.7,0.09,0.09,1.05,Support
Lucky,Philip Ewald,Tricked,20 years,12783,0.39399999999999996,11493,1.11,71.4,3.0,684,18487,0.69,0.09,0.62,0.09,0.1,1.08,
yay,Jaccob Whiteaker,,24 years,12452,0.467,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.1,0.11,1.05,AWPer
zeph,Charlie Dodd,,20 years,11209,0.47600000000000003,10609,1.06,79.7,3.9,600,15248,0.74,0.13,0.7,0.1,0.1,1.11,AWPer
REDSTAR,Hristiyan Pironkov,VOYVODA,21 years,13763,0.49,12460,1.1,74.7,4.4,735,19581,0.7,0.12,0.64,0.1,0.1,1.1,AWPer
KRIMZ,Freddy Johansson,fnatic,28 years,34313,0.408,31173,1.1,76.3,4.2,1862,48979,0.7,0.15,0.64,0.09,0.1,1.05,Support
nin9,Yesuntumur Gantulga,NKT,24 years,8361,0.36700000000000005,7578,1.1,75.1,5.0,453,11946,0.7,0.12,0.63,0.08,0.09,1.1,AWPer
SicK,Hunter Mims,,24 years,15002,0.498,13962,1.07,77.7,2.6,795,20701,0.72,0.13,0.67,0.1,0.12,1.05,AWPer
c0llins,Luka Živanović,Partizan,24 years,8087,0.5429999999999999,7624,1.06,79.8,4.8,410,11085,0.73,0.13,0.69,0.09,0.11,1.1,AWPer
NEEX,Sebastian Trela,,26 years,8076,0.313,7502,1.08,71.5,1.6,429,11195,0.72,0.09,0.67,0.08,0.1,1.05,Entry Fragger
juanflatroo,Flatron Halimi,Bad News Eagles,25 years,13627,0.5670000000000001,13109,1.04,82.7,5.4,677,18121,0.75,0.13,0.72,0.09,0.1,1.1,AWPer
loWel,Christian Garcia Antoran,,26 years,18549,0.475,16810,1.1,75.8,4.5,1008,26413,0.7,0.13,0.64,0.09,0.11,1.05,AWPer
MarKE,Edgar Maldonado,Nouns,24 years,17199,0.532,15779,1.09,79.2,5.2,948,24403,0.7,0.15,0.65,0.11,0.12,1.12,Support
Bwills,Brendan Williams,Nouns,21 years,17564,0.506,16291,1.08,78.2,6.4,951,24800,0.71,0.15,0.66,0.11,0.14,1.1,Support
raafa,Rafael Lima,,28 years,11650,0.27399999999999997,10558,1.1,72.4,3.7,640,16832,0.69,0.11,0.63,0.07,0.08,1.07,
Marcelious,Ole Kristian Langan,,23 years,9864,0.314,9197,1.07,74.0,3.2,515,13889,0.71,0.1,0.66,0.1,0.11,1.07,AWPer
sdy,Viktor Orudzhev,Monte,25 years,22065,0.502,20013,1.1,76.5,4.1,1210,31845,0.69,0.13,0.63,0.1,0.11,1.1,AWPer
Zellsis,Jordan Montemurro,,24 years,11657,0.46399999999999997,10854,1.07,79.2,4.8,626,16210,0.72,0.15,0.67,0.1,0.11,1.11,Support
Jeorge,Jeorge  Endicott,EG Black,19 years,7674,0.473,7181,1.07,78.8,5.9,414,10872,0.71,0.15,0.66,0.1,0.11,1.1,Support
nexa,Nemanja Isaković,OG,25 years,24649,0.51,22561,1.09,75.9,4.5,1340,35515,0.69,0.13,0.64,0.1,0.11,1.05,AWPer
rommi,Roman Golubev,Linx Legacy,29 years,9899,0.508,9295,1.06,81.1,3.7,516,13467,0.74,0.14,0.69,0.08,0.1,1.05,Support
rigoN,Rigon Gashi,Bad News Eagles,23 years,9713,0.542,9528,1.02,81.2,3.4,484,12964,0.75,0.13,0.73,0.1,0.1,1.09,AWPer
Flarich,Vadim Karetin,EC Kyiv,26 years,19803,0.5529999999999999,17982,1.1,73.9,3.7,1083,28855,0.69,0.11,0.62,0.08,0.1,1.07,AWPer
cadiaN,Casper Møller,Heroic,27 years,28897,0.27699999999999997,26132,1.11,73.2,4.9,1578,41691,0.69,0.11,0.63,0.09,0.08,1.04,
TeSeS,René Madsen,Heroic,22 years,17790,0.547,16679,1.07,78.1,4.8,935,24938,0.71,0.14,0.67,0.11,0.12,1.1,Support
latto,Bruno Rebelatto,00NATION,20 years,8067,0.46299999999999997,7404,1.09,77.0,6.1,440,11684,0.69,0.14,0.63,0.09,0.11,1.1,Support
phzy,Love Smidebrant,Sangal,20 years,11087,0.28300000000000003,10019,1.11,72.1,2.9,598,16192,0.68,0.1,0.62,0.08,0.09,1.08,
jkaem,Joakim Myrbostad,Apeks,28 years,27536,0.515,26254,1.05,80.3,3.8,1422,37658,0.73,0.14,0.7,0.11,0.1,1.04,Support
fleav,Fodor Levente,Juggernauts,22 years,11342,0.396,10773,1.05,80.0,2.8,590,15468,0.73,0.13,0.7,0.09,0.1,1.09,AWPer
malta,Liam Schembri,VERTEX,27 years,18577,0.39399999999999996,17093,1.09,77.4,3.9,1052,26781,0.69,0.15,0.64,0.09,0.08,1.1,Support
Kjaerbye,Markus Kjærbye,,24 years,28943,0.528,26849,1.08,78.4,3.9,1549,40780,0.71,0.14,0.66,0.09,0.1,1.04,Support
FASHR,Dion Derksen,fnatic,27 years,15366,0.489,14607,1.05,78.8,5.4,811,21491,0.71,0.15,0.68,0.11,0.13,1.1,Support
aumaN,ZhiHong Liu,Take me away,28 years,16141,0.41700000000000004,14919,1.08,80.8,5.8,888,22785,0.71,0.16,0.65,0.08,0.08,1.04,Support
zewsy,Ryan Palmer,,25 years,11142,0.41,10475,1.06,79.0,3.4,618,15666,0.71,0.16,0.67,0.11,0.1,1.04,Support
STOMP,Daniel Płomiński,,28 years,15139,0.261,13810,1.1,73.3,3.9,809,21729,0.7,0.11,0.64,0.08,0.09,1.09,Entry Fragger
skullz,Felipe Medeiros,paiN,20 years,8301,0.54,7668,1.08,75.4,3.9,444,11939,0.7,0.13,0.64,0.1,0.12,1.09,AWPer
motm,Ian Hardy,,23 years,19904,0.503,18804,1.06,76.2,3.4,1055,27749,0.72,0.12,0.68,0.11,0.12,1.09,AWPer
Hiko,Spencer Martin,,32 years,16611,0.539,15079,1.1,71.6,5.0,937,24398,0.68,0.14,0.62,0.1,0.11,1.04,Support
Geniuss,Kritthee Sawatmuang,,24 years,7345,0.564,7036,1.04,78.5,3.3,398,10155,0.72,0.13,0.69,0.11,0.11,1.11,AWPer
DavCost,Vadim Vasilyev,Invictus International,26 years,24540,0.32299999999999995,22611,1.09,73.5,3.2,1335,35173,0.7,0.12,0.64,0.08,0.09,1.04,AWPer
HSK,Hae-Sung Kim,,28 years,9678,0.311,8833,1.1,75.2,4.5,540,13851,0.7,0.14,0.64,0.12,0.12,1.04,Support
Aerial,Jani Jussila,HAVU,29 years,20207,0.413,18982,1.06,77.7,2.8,1066,28493,0.71,0.15,0.67,0.11,0.11,1.1,Support
Swisher,Michael Schmid,ATK,24 years,14723,0.48100000000000004,13958,1.05,79.9,5.5,788,20503,0.72,0.15,0.68,0.1,0.11,1.1,Support
Bubzkji,Lucas Andersen,,24 years,15534,0.508,14571,1.07,80.4,5.4,817,21619,0.72,0.14,0.67,0.09,0.1,1.04,Support
Snax,Janusz Pogorzelski,Let us cook,29 years,40913,0.368,38079,1.07,74.7,4.4,2204,58221,0.7,0.13,0.65,0.08,0.08,1.04,AWPer
ANDROID,Bradley Fodor,,28 years,15394,0.507,14358,1.07,75.7,3.0,835,21741,0.71,0.13,0.66,0.1,0.12,1.04,AWPer
Qikert,Alexey Golubev,Outsiders,24 years,24525,0.562,22698,1.08,76.9,4.9,1338,35353,0.69,0.13,0.64,0.1,0.09,1.1,AWPer
LOVEYY,KunHua Bai,,34 years,12939,0.52,12240,1.06,78.0,3.5,708,17977,0.72,0.15,0.68,0.11,0.11,1.04,Support
land1n,Paulo Felipe,TropiCaos,29 years,14506,0.31,13192,1.1,69.9,2.3,822,21494,0.67,0.1,0.61,0.08,0.09,1.04,AWPer
eraa,Sean Knutsson,Young Ninjas,21 years,13184,0.33399999999999996,12288,1.07,72.8,3.4,692,18724,0.7,0.1,0.66,0.08,0.09,1.06,AWPer
n0rb3r7,David Danielyan,Outsiders,21 years,21527,0.508,20710,1.04,79.2,4.2,1132,30205,0.71,0.13,0.69,0.08,0.07,1.09,AWPer
b0denmaster,Jonathan Bodenmalm,ATK,24 years,12718,0.326,11795,1.08,73.3,4.5,695,18424,0.69,0.11,0.64,0.09,0.08,1.08,AWPer
KHTEX,Dener Barchfield,,26 years,11300,0.45399999999999996,10433,1.08,75.1,4.3,628,16208,0.7,0.13,0.64,0.09,0.1,1.08,AWPer
buster,Timur Tulepov,Cloud9,23 years,22612,0.479,20668,1.09,73.4,3.5,1260,33293,0.68,0.12,0.62,0.08,0.09,1.08,AWPer
Davidp,David Prins,,28 years,14255,0.397,13246,1.08,77.9,7.6,774,20539,0.69,0.14,0.64,0.07,0.08,1.03,Support
tb,BingYuan Li,WDNMD,32 years,11088,0.499,10380,1.07,76.7,3.5,619,15737,0.7,0.15,0.66,0.11,0.11,1.03,Support
TRAVIS,Aleksandr Timkiv,1WIN,25 years,11248,0.54,10704,1.05,78.7,4.4,598,16039,0.7,0.13,0.67,0.09,0.08,1.1,AWPer
dEE,Miloš Marčeta,,27 years,9215,0.32799999999999996,8590,1.07,72.2,2.8,496,13121,0.7,0.1,0.65,0.09,0.1,1.07,AWPer
tarik,Tarik Celik,,27 years,26620,0.37799999999999995,25304,1.05,76.8,2.9,1438,37326,0.71,0.14,0.68,0.11,0.1,1.03,Support
REZ,Fredrik Sterner,Ninjas in Pyjamas,25 years,26216,0.494,24824,1.06,78.0,3.8,1420,37357,0.7,0.14,0.66,0.1,0.1,1.03,Support
flusha,Robin Rönnquist,EYEBALLERS,29 years,37739,0.42,35288,1.07,80.4,9.4,2055,54045,0.7,0.17,0.65,0.09,0.08,1.03,In-Game Leader
NK4Y,Nikola Radushev,,27 years,8697,0.621,8268,1.05,76.3,3.6,480,12325,0.71,0.14,0.67,0.1,0.11,1.07,Support
chawzyyy,Hugo Günther,,17 years,7594,0.4,7091,1.07,74.9,4.2,414,11057,0.69,0.13,0.64,0.09,0.09,1.08,AWPer
Kntz,Krit Chaiprasit,,25 years,10068,0.474,9398,1.07,75.3,2.8,552,14299,0.7,0.12,0.66,0.1,0.11,1.07,AWPer
twist,Simon Eliasson,ex-Finest,28 years,34352,0.415,32636,1.05,76.8,5.1,1830,48686,0.71,0.14,0.67,0.09,0.09,1.03,Support
Subroza,Yassine Taoufik,,25 years,11748,0.484,11373,1.03,80.7,5.2,623,16275,0.72,0.15,0.7,0.09,0.09,1.1,Support
USTILO,Karlo Pivac,,29 years,20989,0.46,20058,1.05,77.5,3.2,1153,29801,0.7,0.14,0.67,0.1,0.1,1.03,Support
DeStiNy,Lucas Bullo,Paquetá,25 years,22063,0.509,21253,1.04,79.0,3.3,1173,30515,0.72,0.14,0.7,0.11,0.1,1.03,Support
yam,Yaman Ergenekon,,34 years,9755,0.34600000000000003,9105,1.07,74.5,4.9,547,14003,0.7,0.13,0.65,0.09,0.09,1.03,AWPer
Swahn,Christopher Swahn,Disconnected,25 years,8895,0.263,8292,1.07,71.9,3.6,487,12836,0.69,0.1,0.65,0.1,0.1,1.07,
znajder,Andreas Lindberg,,29 years,19778,0.479,18708,1.06,76.8,4.3,1050,27577,0.72,0.15,0.68,0.1,0.1,1.03,Support
kabal,Bat-Enkh Batbayar,IHC,27 years,16368,0.45899999999999996,15407,1.06,76.9,4.8,891,23460,0.7,0.13,0.66,0.08,0.09,1.08,AWPer
Relaxa,Joakim Gustafsson,,29 years,21480,0.302,19549,1.1,72.4,4.3,1204,32063,0.67,0.12,0.61,0.09,0.09,1.03,AWPer
DEV7L,Patrik Stuchlík,,26 years,9988,0.342,9406,1.06,72.4,2.7,549,14256,0.7,0.1,0.66,0.09,0.1,1.03,AWPer
refrezh,Ismail Ali,Sprout,25 years,20389,0.488,19247,1.06,74.4,3.5,1101,29432,0.69,0.12,0.65,0.1,0.1,1.07,AWPer
RCF,Rodrigo Figueiredo,Case,22 years,12731,0.425,12113,1.05,74.9,2.9,682,17905,0.71,0.11,0.68,0.1,0.1,1.09,AWPer
Lucky,Lucas Chastang,HEET,24 years,23201,0.415,21714,1.07,76.8,6.5,1266,33837,0.69,0.14,0.64,0.1,0.1,1.09,Support
captainMo,Ke Liu,Steel Helmet,33 years,14956,0.402,14339,1.04,74.2,2.5,814,20980,0.71,0.12,0.68,0.1,0.1,1.03,AWPer
Thomas,Thomas Utting,Into the Breach,25 years,19122,0.413,18150,1.05,81.1,5.6,1011,26883,0.71,0.17,0.68,0.11,0.11,1.11,In-Game Leader
alex,Alejandro Masanet,Movistar Riders,27 years,25291,0.45799999999999996,23800,1.06,76.6,4.6,1374,36411,0.69,0.14,0.65,0.09,0.1,1.03,Support
dobu,Gan-Erdene Batbold,Eruption,23 years,15976,0.545,15342,1.04,79.8,3.7,855,22460,0.71,0.15,0.68,0.1,0.1,1.03,Support
AiyvaN,Ivan Semenets,LeeK,26 years,12747,0.37799999999999995,12169,1.05,74.2,3.2,701,18214,0.7,0.11,0.67,0.1,0.1,1.03,AWPer
J3nsyy,Theis Jensen,MASONIC,22 years,8648,0.324,8004,1.08,69.7,4.4,476,12815,0.67,0.09,0.62,0.09,0.09,1.06,
KENSI,Aleksandr Gurkin,Aurora,21 years,11696,0.537,10869,1.08,74.3,4.8,633,17122,0.68,0.12,0.63,0.09,0.09,1.07,AWPer
sjuush,Rasmus Beck,Heroic,24 years,16762,0.518,15742,1.06,75.5,4.0,928,24525,0.68,0.13,0.64,0.1,0.11,1.09,AWPer
Patsi,Robert Isyanov,Spirit,19 years,11366,0.44299999999999995,11025,1.03,79.7,3.9,592,15920,0.71,0.13,0.69,0.1,0.1,1.09,AWPer
Maden,Pavle Bošković,ENCE,24 years,14935,0.508,14557,1.03,79.3,5.4,777,20742,0.72,0.13,0.7,0.09,0.09,1.08,AWPer
kressy,Marko Đorđević,,26 years,20407,0.479,19240,1.06,75.6,3.8,1106,29606,0.69,0.13,0.65,0.1,0.1,1.07,AWPer
JUST,Tiago Moura,SAW,26 years,18462,0.55,17559,1.05,75.1,5.6,1015,26838,0.69,0.13,0.65,0.09,0.11,1.03,AWPer
stfN,Stefan Seier,,30 years,25135,0.465,23693,1.06,75.6,4.0,1365,36267,0.69,0.14,0.65,0.1,0.12,1.03,Support
JonY BoY,Jonathan Muñoz,VELOX,31 years,7637,0.34600000000000003,7293,1.05,74.9,3.7,426,10943,0.7,0.11,0.67,0.09,0.09,1.03,AWPer
aizy,Philip Aistrup,NtK,26 years,28987,0.504,27794,1.04,75.6,4.3,1574,41456,0.7,0.13,0.67,0.1,0.1,1.03,AWPer
max,Maximiliano Gonzalez,9z,23 years,11742,0.457,11095,1.06,79.2,4.5,633,16790,0.7,0.15,0.66,0.1,0.1,1.11,Support
shuadapai,Wei Wang,R-Stars,32 years,9880,0.524,9388,1.05,76.0,3.5,549,14214,0.7,0.14,0.66,0.11,0.11,1.08,Support
rain,Håvard Nygaard,FaZe,28 years,31777,0.56,30898,1.03,79.9,3.7,1691,44804,0.71,0.15,0.69,0.1,0.09,1.03,Support
RIKO,Dylan Sabin-Arnce,,26 years,7573,0.527,7418,1.02,77.6,3.4,406,10568,0.72,0.13,0.7,0.1,0.11,1.06,AWPer
Maluk3,Pedro Campos,TeamOne,32 years,21144,0.289,19754,1.07,72.5,5.4,1184,30686,0.69,0.11,0.64,0.09,0.08,1.08,
food,Victor Wong,,26 years,8248,0.502,7868,1.05,77.2,3.9,456,11711,0.7,0.14,0.67,0.11,0.11,1.03,Support
dennis,Dennis Edman,,32 years,29932,0.544,28801,1.04,76.5,4.0,1580,41962,0.71,0.12,0.69,0.09,0.1,1.03,AWPer
Forester,Igor Bezotecheskiy,1WIN,23 years,23686,0.537,22552,1.05,76.5,3.4,1280,34135,0.69,0.13,0.66,0.09,0.09,1.08,AWPer
DiMKE,Dimitrije Veljković,ex-4glory,29 years,12294,0.46799999999999997,11815,1.04,78.9,4.4,663,17460,0.7,0.15,0.68,0.11,0.12,1.02,Support
hoody,Aaro Peltokangas,,24 years,10871,0.496,10469,1.04,77.2,3.7,575,15453,0.7,0.13,0.68,0.09,0.1,1.07,AWPer
juho,Juho Lampinen,,27 years,14787,0.46,14640,1.01,78.5,2.4,774,20351,0.73,0.14,0.72,0.1,0.09,1.02,Support
Blytz,Raul Gligor,Let us cook,22 years,8316,0.51,8079,1.03,79.0,4.4,437,11709,0.71,0.14,0.69,0.1,0.11,1.08,Support
CyberFocus,Roman Dergach,,28 years,9080,0.297,8760,1.04,74.2,2.0,491,12779,0.71,0.11,0.69,0.08,0.08,1.02,Entry Fragger
kai,Kaique Guidotti,,27 years,8814,0.353,8399,1.05,75.9,4.4,483,12692,0.69,0.14,0.66,0.09,0.11,1.07,Support
imoRR,Ömer Karataş,Eternal Fire,23 years,14998,0.505,14816,1.01,78.9,4.4,780,20939,0.72,0.13,0.71,0.11,0.09,1.1,AWPer
pashaBiceps,Jarosław Jarząbkowski,,34 years,29557,0.373,28568,1.03,72.4,4.2,1597,41346,0.71,0.13,0.69,0.08,0.08,1.02,AWPer
AMANEK,François Delaunay,LDLC,29 years,20404,0.457,19122,1.07,74.9,4.7,1121,30127,0.68,0.13,0.63,0.09,0.09,1.02,AWPer
smiley,Algat Abdul,Unique,25 years,8764,0.28800000000000003,8133,1.08,72.5,3.3,478,12883,0.68,0.1,0.63,0.08,0.09,1.07,
kolor,Ádám Domoszlay,Rapid Ninjas,23 years,10692,0.27699999999999997,10344,1.03,73.1,2.1,579,15144,0.71,0.11,0.68,0.1,0.12,1.05,Entry Fragger
dragonfly,Jacob Lund,ex-Maknitude,26 years,9094,0.251,8592,1.06,70.8,3.1,507,13234,0.69,0.09,0.65,0.09,0.08,1.06,
niko,Nikolaj Kristensen,OG,24 years,22342,0.495,21267,1.05,75.1,4.3,1224,32371,0.69,0.13,0.66,0.1,0.11,1.02,AWPer
jdm64,Josh Marzano,,32 years,14626,0.23600000000000002,13801,1.06,70.1,2.9,823,21321,0.69,0.1,0.65,0.1,0.09,1.02,
fnx,Lincoln Lau,,33 years,12323,0.49700000000000005,11661,1.06,78.4,5.9,690,17759,0.69,0.16,0.66,0.08,0.08,1.02,Support
MonttY,Martin Melišek,,23 years,9507,0.466,9169,1.04,77.3,1.9,522,13451,0.71,0.14,0.68,0.11,0.11,1.02,Support
FANAT ROCKA,Vasiliy Trusov,,31 years,8262,0.271,7809,1.06,71.8,2.8,465,12150,0.68,0.11,0.64,0.08,0.09,1.02,
disco doplan,Joakim Gidetun,,27 years,22193,0.439,21099,1.05,76.1,3.6,1207,32000,0.69,0.13,0.66,0.09,0.1,1.02,AWPer
HS,Kevin Tarn,,26 years,20451,0.49200000000000005,20042,1.02,78.4,5.0,1077,28801,0.71,0.15,0.7,0.1,0.11,1.02,Support
Nico,Nicolaj Jensen,,31 years,6738,0.26,6191,1.09,80.6,4.9,399,10074,0.67,0.12,0.61,0.08,0.14,1.02,
bondik,Vladyslav Nechyporchuk,,29 years,26616,0.47700000000000004,25160,1.06,74.5,5.3,1470,38637,0.69,0.13,0.65,0.09,0.1,1.02,AWPer
mouz,Mikołaj Karolewski,,27 years,31408,0.502,29667,1.06,74.1,3.2,1720,45715,0.69,0.13,0.65,0.09,0.1,1.02,AWPer
cxzi,Danny Strzelczyk,Vendetta,22 years,10950,0.364,10867,1.01,80.8,5.3,582,15179,0.72,0.15,0.72,0.1,0.08,1.09,Support
qqGOD,Phoomphat Phodjanat,LZ,25 years,10674,0.409,10394,1.03,79.2,3.3,584,15180,0.7,0.16,0.68,0.09,0.09,1.02,Support
MoeycQ,Mohammed Tizani,,30 years,11650,0.369,11240,1.04,75.2,5.1,639,16594,0.7,0.12,0.68,0.09,0.09,1.02,AWPer
fl0m,Erik Flom,Mythic,30 years,13681,0.309,13053,1.05,73.8,3.6,744,19669,0.7,0.12,0.66,0.1,0.1,1.02,AWPer
Snakes,Ryan Amann,Strife,20 years,8369,0.42200000000000004,7994,1.05,74.9,4.6,473,12195,0.69,0.13,0.66,0.1,0.1,1.07,AWPer
jedqr,Grzegorz Jędras,AGO,24 years,16835,0.532,16041,1.05,77.4,6.2,902,24360,0.69,0.15,0.66,0.1,0.11,1.08,Support
spargo,Jarkko Rahja,,21 years,10362,0.322,9899,1.05,69.3,2.4,556,15157,0.68,0.09,0.65,0.09,0.09,1.05,
spaze,Ivan Obrezhan,MayBe,25 years,10281,0.52,10192,1.01,75.9,2.6,538,14117,0.73,0.14,0.72,0.1,0.11,1.02,Support
v1c7oR,Viktor Dyankov,,28 years,34344,0.46299999999999997,33163,1.04,76.6,4.5,1891,49359,0.7,0.16,0.67,0.12,0.11,1.02,Support
Kylar,Kacper Walukiewicz,9INE,23 years,13701,0.5820000000000001,13167,1.04,73.7,4.5,741,19980,0.69,0.12,0.66,0.09,0.11,1.06,AWPer
Goofy,Krzysiek Gorski,9INE,22 years,23906,0.409,23411,1.02,78.1,4.7,1258,34048,0.7,0.15,0.69,0.1,0.11,1.08,Support
Voltage,Logan Long,,22 years,7494,0.28600000000000003,6923,1.08,67.5,2.8,444,11421,0.66,0.09,0.61,0.09,0.1,1.05,
Ace,Brandon Winn,,27 years,7922,0.314,7352,1.08,68.5,2.3,456,11866,0.67,0.1,0.62,0.09,0.1,1.06,AWPer
Markoś,Kuba Markowski,EC Brugge,24 years,13622,0.304,12726,1.07,71.9,3.3,752,20191,0.67,0.11,0.63,0.08,0.08,1.06,AWPer
dimasick,Dmitry Matvienko,,26 years,10747,0.491,10300,1.04,75.9,3.5,585,15322,0.7,0.12,0.67,0.08,0.09,1.06,AWPer
queztone,Richard Strnátko,,26 years,13135,0.447,12900,1.02,77.1,3.2,709,18569,0.71,0.14,0.69,0.1,0.1,1.02,Support
glowiing,Aleksandr Matsievich,,29 years,11201,0.5479999999999999,11040,1.01,79.4,5.1,588,15752,0.71,0.13,0.7,0.09,0.09,1.07,AWPer
ROBO,Vladimir Neskey,,30 years,12328,0.456,11700,1.05,74.0,2.7,667,17746,0.69,0.11,0.66,0.09,0.1,1.02,AWPer
steel,Joshua Nissan,,33 years,11498,0.457,11237,1.02,80.0,4.8,616,16284,0.71,0.15,0.69,0.09,0.08,1.02,Support
aidKiT,Jane Apostoloski,BLUEJAYS,21 years,8409,0.40299999999999997,8008,1.05,70.9,2.9,460,12296,0.68,0.1,0.65,0.08,0.08,1.05,AWPer
KalubeR,Kalin Erenditsov,Partizan,22 years,7696,0.513,7425,1.04,74.6,4.2,415,11198,0.69,0.12,0.66,0.09,0.11,1.05,AWPer
fr0slev,Magnus Frøslev,Sashi,25 years,11143,0.48,10673,1.04,78.1,4.7,611,15973,0.7,0.14,0.67,0.1,0.12,1.08,Support
