Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
CeRq,Tsvetelin Dimitrov,,23 years,23391,0.27899999999999997,19954,1.17,73.9,2.4,1234,32056,0.73,0.1,0.62,0.1,0.11,1.14,Entry Fragger
oSee,Josh Ohm,Liquid,23 years,22947,0.314,19450,1.18,75.6,2.8,1197,31238,0.73,0.11,0.62,0.11,0.12,1.14,AWPer
swag,Braxton Pierce,,26 years,10527,0.495,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,1.1,Support
Brehze,Vincent Cayonte,Evil Geniuses,24 years,24232,0.527,21467,1.13,80.2,2.5,1228,32018,0.76,0.12,0.67,0.1,0.12,1.1,AWPer
hades,Olek Miskiewicz,9INE,23 years,14722,0.298,12424,1.18,74.0,2.3,742,20079,0.73,0.09,0.62,0.07,0.08,1.12,Entry Fragger
ekul,Luke Blakey,,27 years,8895,0.366,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09,1.14,AWPer
Ax1Le,Sergey Rykhtorov,Cloud9,20 years,19463,0.486,16755,1.16,80.5,5.2,1006,26716,0.73,0.14,0.63,0.09,0.09,1.16,Support
moose,Kaleb Jayne,,24 years,14503,0.441,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,1.14,AWPer
allu,Aleksi Jalli,JANO,30 years,33422,0.287,28810,1.16,75.2,3.7,1717,45044,0.74,0.11,0.64,0.07,0.09,1.1,Entry Fragger
nython,Gabriel Lino,Paquetá,25 years,11024,0.374,9528,1.16,76.4,2.3,553,14736,0.75,0.1,0.65,0.09,0.1,1.14,AWPer
Infinite,Gage Green,Strife,24 years,17371,0.511,15372,1.13,81.0,5.0,899,23439,0.74,0.14,0.66,0.1,0.11,1.15,Support
PwnAlone,Josh Pigue,EG White,32 years,18415,0.316,15949,1.15,76.2,3.5,972,25271,0.73,0.12,0.63,0.1,0.1,1.14,AWPer
xccurate,Kevin Susanto,,25 years,13334,0.312,11610,1.15,74.2,1.9,698,18113,0.74,0.1,0.64,0.1,0.1,1.09,AWPer
mixwell,Oscar Cañellas,,27 years,16275,0.381,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.1,0.1,1.09,AWPer
Sonic,Aran Groesbeek,,24 years,18216,0.46399999999999997,15854,1.15,78.7,4.3,963,24799,0.73,0.13,0.64,0.11,0.11,1.09,AWPer
aliStair,Alistair Johnston,Grayhound,24 years,20680,0.34700000000000003,17756,1.16,75.4,3.3,1125,28555,0.72,0.12,0.62,0.09,0.08,1.14,AWPer
syrsoN,Florian Rische,BIG,26 years,34921,0.294,30094,1.16,74.2,2.5,1800,47847,0.73,0.09,0.63,0.08,0.09,1.09,Entry Fragger
JUGi,Jakob Hansen,,25 years,17527,0.278,14851,1.18,74.1,2.4,940,24427,0.72,0.1,0.61,0.08,0.1,1.09,Entry Fragger
GeT_RiGhT,Christopher Alesund,,32 years,33295,0.493,29011,1.15,76.5,4.4,1747,45082,0.74,0.15,0.64,0.09,0.08,1.09,Support
Cooper,Austin Abadir,Mythic,28 years,16118,0.327,13982,1.15,74.3,2.3,840,21866,0.74,0.09,0.64,0.09,0.1,1.12,Entry Fragger
Calyx,Buğra Arkın,Eternal Fire,24 years,22346,0.57,19370,1.15,77.1,3.7,1172,30771,0.73,0.12,0.63,0.09,0.1,1.09,AWPer
ryx,Ronnie Bylicki,,29 years,9797,0.363,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12,1.09,Support
zehN,Jesse Linjala,,31 years,22941,0.455,20322,1.13,80.4,8.0,1183,31410,0.73,0.15,0.65,0.08,0.09,1.09,Support
electroNic,Denis Sharipov,Natus Vincere,24 years,27330,0.5,24261,1.13,82.6,4.6,1396,36878,0.74,0.14,0.66,0.09,0.1,1.09,Support
JOTA,Jhonatan Willian,Imperial,25 years,10532,0.418,9140,1.15,81.9,6.3,556,14491,0.73,0.16,0.63,0.09,0.1,1.16,Support
ScreaM,Adil Benrlitom,,28 years,27501,0.6809999999999999,24396,1.13,79.1,3.3,1430,37087,0.74,0.12,0.66,0.1,0.11,1.09,AWPer
ritchiEE,Richard Mestdagh,undefined,24 years,8938,0.506,7951,1.12,82.4,5.0,449,11922,0.75,0.14,0.67,0.1,0.13,1.14,Support
biguzera,Rodrigo Bittencourt,paiN,26 years,13555,0.507,11819,1.15,80.5,5.5,704,18720,0.72,0.15,0.63,0.1,0.11,1.16,Support
NAF,Keith Markovic,Liquid,25 years,31844,0.41700000000000004,27574,1.15,81.1,5.8,1669,43922,0.73,0.15,0.63,0.09,0.11,1.09,Support
BL1TZ,Peter Athanasatos,VERTEX,30 years,14086,0.43,12485,1.13,75.0,2.4,740,19035,0.74,0.1,0.66,0.08,0.09,1.1,AWPer
nex,Johannes Maget,,30 years,21063,0.515,18628,1.13,78.8,4.7,1074,28389,0.74,0.15,0.66,0.1,0.12,1.09,Support
nukkye,Žygimantas Chmieliauskas,,25 years,11227,0.392,9897,1.13,78.3,2.6,592,15492,0.72,0.12,0.64,0.08,0.09,1.12,AWPer
draken,William Sundin,GODSENT,27 years,24519,0.307,21194,1.16,74.6,2.2,1275,33953,0.72,0.1,0.62,0.08,0.08,1.08,AWPer
NEOFRAG,Adam Zouhar,OG,21 years,15278,0.49200000000000005,13904,1.1,84.7,8.3,768,20573,0.74,0.15,0.68,0.1,0.12,1.15,Support
fer,Fernando Alvarenga,,31 years,28823,0.449,26000,1.11,82.8,5.0,1468,38442,0.75,0.15,0.68,0.09,0.08,1.08,Support
