,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
32,frozen,"['MOUZ', 'eXtatus']",1285,33626,+3868,1.18,1.12,20 years,25436,54.2%,21568,1.18,82.8,5.2,1285,33626,0.76,0.13,0.64,0.09,0.11,0.64,73.0%,1.18,82.8,0.76,1.12
33,mantuu,"['OG', 'ALTERNATE aTTaX', 'PANTHERS']",696,18646,+2374,1.21,1.12,25 years,13904,35.7%,11530,1.21,76.7,3.4,696,18646,0.75,0.11,0.62,0.09,0.12,0.62,72.8%,1.16,76.7,0.75,1.16
34,sk0R,"['IHC', 'D13', 'NKT']",434,11700,+1241,1.16,1.12,20 years,9124,48.5%,7884,1.16,82.4,4.8,435,11730,0.78,0.12,0.67,0.09,0.10,0.67,71.1%,1.20,82.4,0.78,1.16
35,Freeman,"['TYLOO', 'ViCi']",812,20788,+2358,1.18,1.12,23 years,15755,48.8%,13397,1.18,80.5,3.0,812,20788,0.76,0.13,0.64,0.09,0.11,0.64,72.8%,1.15,80.5,0.76,1.16
36,kennyS,"['G2', 'Envy', 'Titan']",1945,51507,+6502,1.20,1.12,27 years,38838,31.2%,32336,1.20,74.3,3.4,1945,51507,0.75,0.11,0.63,0.09,0.11,0.63,70.8%,1.11,74.3,0.75,1.12
37,huNter-,"['G2', 'Valiance', 'Binary Dragons']",1555,41042,+4394,1.16,1.12,27 years,31656,49.3%,27262,1.16,84.4,5.5,1555,41042,0.77,0.14,0.66,0.10,0.11,0.66,72.1%,1.22,84.4,0.77,1.12
38,liTTle,"['FORZE', 'RuSh3D', 'Spartak', 'Enso']",458,12159,+1550,1.20,1.12,34 years,9317,27.7%,7766,1.20,78.5,2.6,457,12154,0.77,0.10,0.64,0.07,0.09,0.64,71.4%,1.22,78.5,0.77,1.12
39,INS,"['Grayhound', 'Renegades', 'Chiefs', 'ORDER', 'Tainted Minds']",1013,25672,+2821,1.17,1.12,24 years,19482,42.6%,16661,1.17,85.7,8.6,1013,25672,0.76,0.17,0.65,0.10,0.09,0.65,72.2%,1.25,85.7,0.76,1.19
40,yuurih,['FURIA'],1064,27772,+3260,1.18,1.12,23 years,20918,44.2%,17658,1.18,84.1,5.0,1064,27772,0.75,0.15,0.64,0.09,0.11,0.64,73.2%,1.15,84.1,0.75,1.18
41,woxic,"['HellRaisers', 'Eternal Fire', 'MOUZ']",1257,33092,+4139,1.20,1.12,24 years,24364,32.1%,20225,1.20,76.4,2.5,1257,33092,0.74,0.11,0.61,0.08,0.10,0.61,71.5%,1.16,76.4,0.74,1.12
42,h4rn,"['FATE', 'Fiend', 'Enterprise']",705,18908,+2525,1.22,1.12,22 years,13823,28.6%,11288,1.22,74.8,3.4,706,18929,0.73,0.10,0.60,0.08,0.09,0.60,72.7%,1.14,74.8,0.73,1.15
43,Jamppi,"['SJ', 'ENCE']",503,13449,+1408,1.16,1.12,21 years,10302,31.8%,8894,1.16,78.2,2.8,503,13449,0.77,0.10,0.66,0.08,0.09,0.66,69.8%,1.28,78.2,0.77,1.15
44,ropz,"['FaZe', 'MOUZ']",1220,32318,+4027,1.20,1.12,23 years,23861,51.7%,19834,1.20,78.4,2.5,1220,32318,0.74,0.11,0.61,0.07,0.09,0.61,72.5%,1.09,78.4,0.74,1.14
45,wrath,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,+1239,1.13,1.12,21 years,10634,50.1%,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14,0.69,72.2%,1.21,83.9,0.78,1.12
46,kNgV-,"['O PLANO', 'MIBR', 'INTZ']",900,23588,+2597,1.17,1.12,30 years,17983,32.3%,15386,1.17,78.2,2.1,900,23588,0.76,0.10,0.65,0.08,0.09,0.65,70.3%,1.22,78.2,0.76,1.12
47,dgt,['9z'],511,13531,+1781,1.22,1.12,21 years,9984,49.7%,8203,1.22,77.9,3.7,511,13531,0.74,0.12,0.61,0.09,0.12,0.61,73.9%,1.07,77.9,0.74,1.15
48,SunPayus,"['ENCE', 'Movistar Riders']",411,11018,+1466,1.23,1.11,24 years,7965,29.6%,6499,1.23,74.2,3.5,411,11018,0.72,0.10,0.59,0.08,0.10,0.59,72.8%,1.15,74.2,0.72,1.16
49,chelleos,"['Rooster', 'madlikewizards', 'Paradox']",601,15529,+1477,1.14,1.11,22 years,12005,31.9%,10528,1.14,83.5,4.1,601,15529,0.77,0.13,0.68,0.10,0.09,0.68,69.5%,1.38,83.5,0.77,1.19
50,nawwk,"['Apeks', 'GamerLegion', 'Ninjas in Pyjamas', 'x6tence Galaxy']",1016,27202,+3558,1.22,1.11,25 years,20045,35.2%,16487,1.22,73.3,2.8,1016,27202,0.74,0.09,0.61,0.09,0.11,0.61,72.2%,1.09,73.3,0.74,1.13
51,PTC,"['Lucid Dream', '5POWER']",476,12393,+1408,1.18,1.11,24 years,9304,36.1%,7896,1.18,76.9,2.0,476,12393,0.75,0.10,0.64,0.08,0.09,0.64,71.2%,1.19,76.9,0.75,1.14
52,splashske,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,+1811,1.15,1.11,23 years,14145,38.4%,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09,0.66,70.2%,1.25,78.5,0.76,1.11
53,Twistzz,"['FaZe', 'Liquid']",1466,38566,+4206,1.18,1.11,23 years,28178,62.0%,23972,1.18,76.9,3.5,1466,38566,0.73,0.12,0.62,0.10,0.12,0.62,73.7%,1.08,76.9,0.73,1.11
54,dream3r,"['E-frag.net', 'Fiend', 'SKADE']",1375,36103,+4451,1.20,1.11,26 years,26575,49.4%,22117,1.20,76.5,3.1,1376,36124,0.74,0.12,0.61,0.08,0.11,0.61,73.2%,1.04,76.5,0.74,1.11
55,erkaSt,"['NKT', 'Grayhound', 'TIGER', 'Immunity']",932,24234,+2450,1.15,1.11,27 years,18498,50.0%,16048,1.15,82.6,5.2,932,24234,0.76,0.14,0.66,0.09,0.09,0.66,71.8%,1.19,82.6,0.76,1.16
56,zorte,"['FORZE', 'Unique']",900,24154,+3024,1.21,1.11,24 years,17498,36.1%,14474,1.21,73.6,2.7,900,24154,0.72,0.09,0.60,0.09,0.11,0.60,72.7%,1.14,73.6,0.72,1.15
57,GuardiaN,"['Natus Vincere', 'FaZe']",1590,41693,+4763,1.18,1.11,31 years,30757,29.6%,25994,1.18,71.8,2.8,1590,41693,0.74,0.11,0.62,0.08,0.09,0.62,69.7%,1.09,71.8,0.74,1.11
58,xsepower,"['FORZE', 'K23']",1337,35899,+4793,1.23,1.11,25 years,25734,24.9%,20941,1.23,72.3,2.2,1337,35899,0.72,0.08,0.58,0.07,0.08,0.58,71.1%,1.19,72.3,0.72,1.15
59,ottoNd,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",908,24015,+2783,1.19,1.11,25 years,17757,27.0%,14974,1.19,76.0,3.3,908,24015,0.74,0.10,0.62,0.09,0.11,0.62,71.5%,1.17,76.0,0.74,1.15
60,vsm,"['Fluxo', 'DETONA', '00NATION']",665,17631,+1692,1.15,1.11,23 years,13265,47.9%,11573,1.15,82.1,3.3,665,17631,0.75,0.13,0.66,0.09,0.09,0.66,71.5%,1.21,82.1,0.75,1.16
61,FREDDyFROG,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1208,32176,+3606,1.18,1.11,29 years,23752,40.3%,20146,1.18,80.4,3.9,1208,32176,0.74,0.14,0.63,0.09,0.11,0.63,73.4%,1.13,80.4,0.74,1.11
62,TenZ,"['Bad News Bears', 'ATK']",401,10399,+839,1.12,1.10,21 years,7931,51.3%,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.10,0.12,0.68,71.5%,1.21,82.4,0.76,1.15
63,Vexite,"['Grayhound', 'ORDER', 'Chiefs']",411,10477,+854,1.12,1.10,18 years,8004,57.1%,7150,1.12,83.2,5.0,411,10477,0.76,0.14,0.68,0.10,0.11,0.68,71.7%,1.23,83.2,0.76,1.16
64,f0rest,"['Ninjas in Pyjamas', 'Dignitas']",2102,54673,+5675,1.16,1.10,34 years,41243,51.9%,35568,1.16,76.3,3.7,2102,54673,0.75,0.12,0.65,0.09,0.10,0.65,70.5%,1.07,76.3,0.75,1.10
65,Olivia,"['Beyond', 'Alpha Red', 'Signature']",634,16189,+1565,1.15,1.10,25 years,12279,37.0%,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09,0.66,70.6%,1.19,78.5,0.76,1.13
66,CacaNito,['BLUEJAYS'],406,10885,+836,1.11,1.10,22 years,8335,46.6%,7499,1.11,85.9,5.0,406,10885,0.77,0.15,0.69,0.09,0.11,0.69,69.3%,1.25,85.9,0.77,1.16
67,dumau,"['00NATION', 'GODSENT', 'Yeah']",541,14372,+1623,1.18,1.10,19 years,10647,41.5%,9024,1.18,80.7,4.7,541,14372,0.74,0.14,0.63,0.08,0.11,0.63,72.7%,1.14,80.7,0.74,1.16
68,mertz,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",963,25529,+2618,1.16,1.10,24 years,19221,32.5%,16603,1.16,77.4,2.4,963,25529,0.75,0.10,0.65,0.10,0.10,0.65,70.4%,1.22,77.4,0.75,1.10
69,poizon,"['Complexity', 'Windigo', 'Bpro']",1108,29354,+2862,1.15,1.10,24 years,21623,33.6%,18761,1.15,78.0,3.8,1108,29354,0.74,0.12,0.64,0.09,0.10,0.64,70.6%,1.20,78.0,0.74,1.14
70,mir,"['Spirit', 'Vega Squadron', 'Gambit']",1066,28082,+2792,1.15,1.10,27 years,21326,52.0%,18534,1.15,81.5,4.9,1066,28082,0.76,0.13,0.66,0.10,0.11,0.66,71.7%,1.19,81.5,0.76,1.10
71,WARDELL,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,+1648,1.17,1.10,24 years,11627,27.2%,9979,1.17,74.2,2.1,609,15901,0.73,0.10,0.63,0.09,0.10,0.63,70.9%,1.19,74.2,0.73,1.13
72,HEN1,"['MIBR', 'Immortals', 'FURIA', 'Luminosity']",1265,32876,+4227,1.22,1.10,27 years,23133,29.2%,18906,1.22,74.8,4.0,1265,32876,0.70,0.12,0.58,0.08,0.09,0.58,73.5%,1.09,74.8,0.70,1.10
73,CeRq,"['NRG', 'Evil Geniuses', 'Outlaws']",1234,32056,+3437,1.17,1.10,23 years,23391,27.9%,19954,1.17,73.9,2.4,1234,32056,0.73,0.10,0.62,0.10,0.11,0.62,72.1%,1.16,73.9,0.73,1.14
74,oSee,"['Liquid', 'Extra Salt', 'Singularity', 'Cloud9']",1197,31238,+3497,1.18,1.10,23 years,22947,31.4%,19450,1.18,75.6,2.8,1197,31238,0.73,0.11,0.62,0.11,0.12,0.62,72.9%,1.12,75.6,0.73,1.14
75,swag,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,+1629,1.18,1.10,26 years,10527,49.5%,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,0.62,72.9%,1.09,77.6,0.73,1.10
76,hades,"['ENCE', 'Wisla Krakow']",751,20331,+2334,1.19,1.10,23 years,14897,29.8%,12563,1.19,73.9,2.3,751,20331,0.73,0.09,0.62,0.07,0.08,0.62,71.1%,1.11,73.9,0.73,1.12
77,Ax1Le,"['Gambit Youngsters', 'Gambit']",1010,26807,+2740,1.16,1.10,20 years,19543,48.6%,16803,1.16,80.5,5.2,1010,26807,0.73,0.14,0.63,0.09,0.09,0.63,72.5%,1.15,80.5,0.73,1.16
78,ekul,"['Paradox', 'SYF']",452,11703,+986,1.12,1.10,27 years,8895,36.6%,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09,0.68,68.6%,1.28,80.0,0.76,1.14
79,Brehze,"['Evil Geniuses', 'NRG']",1241,32333,+2732,1.13,1.10,24 years,24417,52.7%,21685,1.13,80.0,2.5,1241,32333,0.76,0.12,0.67,0.10,0.12,0.67,71.6%,1.14,80.0,0.76,1.10
80,nython,"['Paquetá', 'RED Canids', 'paiN']",556,14824,+1516,1.16,1.10,25 years,11088,37.3%,9572,1.16,76.4,2.3,556,14824,0.75,0.10,0.65,0.09,0.10,0.65,71.6%,1.16,76.4,0.75,1.14
81,allu,"['ENCE', 'Ninjas in Pyjamas', 'FaZe']",1724,45245,+4650,1.16,1.10,30 years,33586,28.7%,28936,1.16,75.2,3.7,1724,45245,0.74,0.11,0.64,0.07,0.09,0.64,70.0%,1.12,75.2,0.74,1.10
82,moose,"['eUnited', 'Rise Nation']",752,19559,+1975,1.16,1.10,24 years,14503,44.1%,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,0.64,71.5%,1.12,79.2,0.74,1.14
83,Infinite,['Party Astronauts'],903,23540,+2011,1.13,1.10,24 years,17446,51.1%,15435,1.13,81.0,5.0,903,23540,0.74,0.14,0.66,0.10,0.11,0.66,72.3%,1.17,81.0,0.74,1.15
84,PwnAlone,"['Party Astronauts', 'New England Whalers']",976,25381,+2486,1.16,1.10,32 years,18496,31.5%,16010,1.16,76.2,3.5,976,25381,0.73,0.12,0.63,0.10,0.10,0.63,72.0%,1.17,76.2,0.73,1.14
85,xccurate,"['TYLOO', 'Recca', 'BTRG', 'NKT']",698,18113,+1724,1.15,1.09,25 years,13334,31.2%,11610,1.15,74.2,1.9,698,18113,0.74,0.10,0.64,0.10,0.10,0.64,71.1%,1.14,74.2,0.74,1.09
86,mixwell,"['OpTic', 'Movistar Riders']",840,21804,+1911,1.13,1.09,27 years,16275,38.1%,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.10,0.10,0.66,71.2%,1.22,79.5,0.75,1.09
87,Sonic,"['Bravado', 'Extra Salt', 'Cloud9']",963,24799,+2362,1.15,1.09,24 years,18216,46.4%,15854,1.15,78.7,4.3,963,24799,0.73,0.13,0.64,0.11,0.11,0.64,72.5%,1.15,78.7,0.73,1.09
88,aliStair,"['ORDER', 'Chiefs', 'Renegades']",1125,28555,+2924,1.16,1.09,24 years,20680,34.7%,17756,1.16,75.4,3.3,1125,28555,0.72,0.12,0.62,0.09,0.08,0.62,71.3%,1.20,75.4,0.72,1.14
89,syrsoN,"['ALTERNATE aTTaX', 'BIG', 'Sprout']",1800,47847,+4827,1.16,1.09,26 years,34921,29.4%,30094,1.16,74.2,2.5,1800,47847,0.73,0.09,0.63,0.08,0.09,0.63,70.1%,1.20,74.2,0.73,1.09
90,JUGi,"['Heroic', 'OpTic', 'Tricked', 'North']",940,24427,+2676,1.18,1.09,25 years,17527,27.8%,14851,1.18,74.1,2.4,940,24427,0.72,0.10,0.61,0.08,0.10,0.61,72.0%,1.13,74.1,0.72,1.09
91,GeT_RiGhT,['Ninjas in Pyjamas'],1747,45082,+4284,1.15,1.09,32 years,33295,49.3%,29011,1.15,76.5,4.4,1747,45082,0.74,0.15,0.64,0.09,0.08,0.64,68.8%,1.03,76.5,0.74,1.09
92,Cooper,"['Mythic', 'Swole Patrol', 'eUnited', 'Triumph']",849,22070,+2113,1.15,1.09,28 years,16246,32.8%,14133,1.15,74.2,2.3,849,22070,0.74,0.09,0.64,0.09,0.10,0.64,70.8%,1.14,74.2,0.74,1.12
93,ryx,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",491,12856,+1181,1.14,1.09,29 years,9797,36.3%,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12,0.67,72.7%,1.11,83.7,0.76,1.09
94,zehN,"['HAVU', 'GODSENT', 'PENTA', 'FunPlus Phoenix']",1183,31410,+2619,1.13,1.09,31 years,22941,45.5%,20322,1.13,80.4,8.0,1183,31410,0.73,0.15,0.65,0.08,0.09,0.65,71.6%,1.10,80.4,0.73,1.09
95,electroNic,"['Natus Vincere', 'FlipSid3']",1396,36878,+3069,1.13,1.09,24 years,27330,50.0%,24261,1.13,82.6,4.6,1396,36878,0.74,0.14,0.66,0.09,0.10,0.66,71.6%,1.19,82.6,0.74,1.09
96,ScreaM,"['Envy', 'G2', 'Titan', 'VeryGames']",1430,37087,+3105,1.13,1.09,28 years,27501,68.1%,24396,1.13,79.1,3.3,1430,37087,0.74,0.12,0.66,0.10,0.11,0.66,71.1%,1.11,79.1,0.74,1.09
97,Calyx,"['Eternal Fire', 'Space Soldiers']",1186,31160,+2995,1.15,1.09,24 years,22607,57.0%,19612,1.15,77.0,3.7,1186,31160,0.73,0.12,0.63,0.09,0.10,0.63,72.7%,1.07,77.0,0.73,1.09
98,JOTA,"['MIBR', 'Bravos']",564,14719,+1410,1.15,1.09,25 years,10687,41.8%,9277,1.15,81.8,6.3,564,14719,0.73,0.16,0.63,0.09,0.10,0.63,73.3%,1.13,81.8,0.73,1.16
99,NAF,"['Liquid', 'OpTic']",1669,43922,+4270,1.15,1.09,25 years,31844,41.7%,27574,1.15,81.1,5.8,1669,43922,0.73,0.15,0.63,0.09,0.11,0.63,73.4%,1.08,81.1,0.73,1.09
100,biguzera,['paiN'],719,19103,+1768,1.15,1.09,26 years,13822,50.6%,12054,1.15,80.5,5.5,719,19103,0.72,0.15,0.63,0.10,0.11,0.63,73.2%,1.15,80.5,0.72,1.16
101,BL1TZ,"['Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys']",740,19035,+1601,1.13,1.09,30 years,14086,43.0%,12485,1.13,75.0,2.4,740,19035,0.74,0.10,0.66,0.08,0.09,0.66,69.1%,1.15,75.0,0.74,1.10
102,nex,"['BIG', 'MOUZ']",1074,28389,+2435,1.13,1.09,30 years,21063,51.5%,18628,1.13,78.8,4.7,1074,28389,0.74,0.15,0.66,0.10,0.12,0.66,72.2%,1.04,78.8,0.74,1.09
103,draken,"['Epsilon', 'Ninjas in Pyjamas', 'Into the Breach']",1289,34320,+3376,1.16,1.08,27 years,24785,30.7%,21409,1.16,74.6,2.2,1289,34320,0.72,0.10,0.62,0.08,0.08,0.62,70.5%,1.17,74.6,0.72,1.08
104,nukkye,"['Imperial', 'HellRaisers', 'NoChance']",592,15492,+1330,1.13,1.08,25 years,11227,39.2%,9897,1.13,78.3,2.6,592,15492,0.72,0.12,0.64,0.08,0.09,0.64,71.4%,1.11,78.3,0.72,1.12
105,ritchiEE,['EC Brugge'],456,12112,+963,1.12,1.08,24 years,9057,50.7%,8094,1.12,82.4,5.0,456,12112,0.75,0.14,0.67,0.10,0.13,0.67,72.2%,1.13,82.4,0.75,1.14
106,NEOFRAG,"['OG', 'SINNERS']",768,20573,+1374,1.10,1.08,21 years,15278,49.2%,13904,1.10,84.7,8.3,768,20573,0.74,0.15,0.68,0.10,0.12,0.68,71.2%,1.22,84.7,0.74,1.15
107,fer,"['SK', 'MIBR', 'Luminosity']",1468,38442,+2823,1.11,1.08,31 years,28823,44.9%,26000,1.11,82.8,5.0,1468,38442,0.75,0.15,0.68,0.09,0.08,0.68,71.2%,1.22,82.8,0.75,1.08
108,EliGE,['Liquid'],1708,44874,+3103,1.10,1.08,25 years,33767,48.7%,30664,1.10,83.3,4.1,1708,44874,0.75,0.15,0.68,0.10,0.12,0.68,71.3%,1.23,83.3,0.75,1.08
109,hazr,"['AVANT', 'Looking For Org', 'Breakaway', 'Dire Wolves']",834,21319,+1347,1.09,1.08,21 years,15857,55.9%,14510,1.09,80.8,4.4,834,21319,0.74,0.14,0.68,0.11,0.11,0.68,71.4%,1.18,80.8,0.74,1.13
110,gas,"['Wings Up', 'LGD', 'EDG', 'Aster']",518,13599,+773,1.08,1.08,27 years,10462,59.8%,9689,1.08,81.5,2.4,518,13599,0.77,0.12,0.71,0.10,0.12,0.71,69.4%,1.17,81.5,0.77,1.11
111,Savage,"['VG.CyberZen', 'ViCi', 'CyberZen', '5POWER']",836,21434,+1926,1.14,1.08,33 years,15647,37.0%,13721,1.14,78.2,5.5,836,21434,0.73,0.13,0.64,0.09,0.09,0.64,71.2%,1.15,78.2,0.73,1.08
112,pz,"['VERTEX', 'TRUCKERS WITH ATTITUDE', 'Airborne']",503,13047,+1154,1.14,1.08,23 years,9341,29.3%,8187,1.14,76.0,5.6,503,13047,0.72,0.12,0.63,0.09,0.09,0.63,70.9%,1.16,76.0,0.72,1.13
113,DJOXiC,"['Binary Dragons', 'iNation', 'Valiance']",489,12531,+1204,1.15,1.08,30 years,9002,29.8%,7798,1.15,73.0,2.9,489,12531,0.72,0.10,0.62,0.09,0.10,0.62,70.6%,1.16,73.0,0.72,1.08
114,Machinegun,"['TheMongolz', 'Mazaalai']",431,10994,+676,1.09,1.08,32 years,8352,50.3%,7676,1.09,81.4,3.2,431,10994,0.76,0.13,0.70,0.08,0.09,0.70,68.6%,1.19,81.4,0.76,1.08
115,junior,"['Triumph', 'Bad News Bears', 'Complexity', 'FURIA']",512,13361,+1433,1.18,1.08,22 years,9449,29.3%,8016,1.18,71.3,2.2,512,13361,0.71,0.09,0.60,0.08,0.10,0.60,71.3%,1.08,71.3,0.71,1.11
116,faveN,"['BIG', 'Sprout', 'EURONICS']",1414,37783,+3133,1.13,1.08,23 years,27757,54.2%,24624,1.13,78.3,3.3,1414,37783,0.73,0.12,0.65,0.10,0.12,0.65,72.2%,1.12,78.3,0.73,1.13
117,lollipop21k,"['Nemiga', 'GoodJob']",1280,34333,+2437,1.11,1.08,26 years,25561,48.9%,23121,1.11,81.4,3.7,1279,34327,0.74,0.13,0.67,0.09,0.10,0.67,71.9%,1.11,81.4,0.74,1.13
118,dennyslaw,['SKADE'],1352,36441,+3224,1.14,1.08,23 years,26410,31.4%,23186,1.14,74.3,3.0,1352,36441,0.72,0.10,0.64,0.08,0.10,0.64,70.8%,1.14,74.3,0.72,1.11
119,Spinx,"['Vitality', 'ENCE', 'c0ntact']",525,14004,+1140,1.13,1.08,22 years,10180,55.5%,9040,1.13,77.6,3.4,525,14004,0.73,0.11,0.65,0.08,0.10,0.65,71.2%,1.10,77.6,0.73,1.11
120,valde,"['North', 'OG', 'Heroic']",1299,34539,+2865,1.13,1.08,27 years,25237,46.8%,22372,1.13,79.6,5.0,1299,34539,0.73,0.14,0.65,0.10,0.10,0.65,72.5%,1.09,79.6,0.73,1.08
121,Attacker,"['TYLOO', 'Flash']",1304,33546,+2705,1.12,1.08,26 years,24954,46.4%,22249,1.12,79.1,2.3,1304,33546,0.74,0.14,0.66,0.11,0.11,0.66,73.0%,1.12,79.1,0.74,1.08
122,keev,"['ALTERNATE aTTaX', 'BIG', 'KILLERFISH']",594,15524,+1217,1.12,1.08,31 years,11408,29.1%,10191,1.12,73.6,2.8,594,15524,0.73,0.09,0.66,0.08,0.08,0.66,68.0%,1.21,73.6,0.73,1.08
123,exit,"['MIBR', 'Sharks']",903,23328,+2465,1.18,1.08,26 years,16251,45.3%,13786,1.18,75.8,5.2,903,23328,0.70,0.13,0.59,0.09,0.12,0.59,74.5%,0.98,75.8,0.70,1.12
124,sergej,"['GORILLAZ', 'ENCE', 'HAVU']",776,20425,+1816,1.14,1.08,20 years,14855,48.2%,13039,1.14,79.3,4.0,776,20425,0.73,0.14,0.64,0.10,0.11,0.64,72.3%,1.12,79.3,0.73,1.13
125,Detrony,['Bravado'],413,10468,+848,1.12,1.08,32 years,7636,34.7%,6788,1.12,77.3,4.4,413,10468,0.73,0.13,0.65,0.10,0.09,0.65,71.1%,1.17,77.3,0.73,1.08
126,ZOREE,"['HAVU', 'iGame.com', 'SJ']",1770,47068,+4354,1.15,1.08,29 years,33734,33.0%,29380,1.15,73.6,3.8,1770,47068,0.72,0.10,0.62,0.08,0.10,0.62,70.6%,1.09,73.6,0.72,1.08
127,k0nfig,"['Dignitas', 'OpTic', 'Complexity', 'North', 'Astralis']",1610,42667,+2476,1.08,1.08,25 years,32019,55.6%,29543,1.08,80.8,2.9,1610,42667,0.75,0.13,0.69,0.09,0.10,0.69,69.6%,1.19,80.8,0.75,1.08
128,felps,"['Fluxo', 'SK', 'GODSENT', 'Immortals']",1130,29055,+1809,1.09,1.08,26 years,22067,43.4%,20258,1.09,84.6,3.6,1130,29055,0.76,0.16,0.70,0.10,0.09,0.70,70.4%,1.26,84.6,0.76,1.08
129,cynic,"['Nouns', 'Party Astronauts', 'Triumph', 'Gaimin Gladiators']",840,21946,+1844,1.13,1.08,23 years,16137,40.1%,14293,1.13,80.3,5.7,840,21946,0.74,0.14,0.65,0.10,0.11,0.65,72.8%,1.09,80.3,0.74,1.13
130,ShahZaM,"['Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",966,25252,+2058,1.13,1.08,29 years,18509,34.0%,16451,1.13,74.8,2.4,966,25252,0.73,0.10,0.65,0.09,0.10,0.65,70.0%,1.16,74.8,0.73,1.08
131,FL1T,['FORZE'],1322,35599,+3041,1.13,1.08,22 years,26050,46.7%,23009,1.13,80.4,4.5,1322,35599,0.73,0.13,0.65,0.09,0.11,0.65,72.2%,1.08,80.4,0.73,1.13
132,gxx-,"['Bad News Eagles', 'BLINK']",471,12605,+1318,1.17,1.08,23 years,8867,30.7%,7549,1.17,70.2,2.7,471,12605,0.70,0.08,0.60,0.08,0.09,0.60,70.6%,1.03,70.2,0.70,1.09
133,Hatz,"['ORDER', 'Renegades', 'Kings']",970,24686,+2046,1.13,1.08,24 years,17725,50.9%,15679,1.13,77.6,5.1,970,24686,0.72,0.14,0.64,0.10,0.10,0.64,73.0%,1.14,77.6,0.72,1.14
134,floppy,"['Complexity', 'Cloud9', 'Singularity']",919,24129,+1737,1.11,1.08,23 years,17576,49.4%,15839,1.11,80.2,3.2,919,24129,0.73,0.14,0.66,0.11,0.13,0.66,73.1%,1.12,80.2,0.73,1.14
135,mezii,"['fnatic', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed']",613,16508,+1365,1.13,1.08,24 years,11841,50.1%,10471,1.13,79.3,5.4,614,16544,0.72,0.14,0.63,0.09,0.12,0.63,73.3%,1.07,79.3,0.72,1.13
136,Farlig,"['Copenhagen Flames', 'Astralis', 'FunPlus Phoenix', 'GODSENT']",775,20762,+1777,1.14,1.08,23 years,14833,33.4%,13056,1.14,71.4,2.4,775,20762,0.71,0.09,0.63,0.08,0.10,0.63,70.1%,1.11,71.4,0.71,1.09
137,meyern,"['Isurus', 'Furious', 'MIBR', 'Sharks']",516,13481,+927,1.10,1.08,20 years,9783,54.1%,8856,1.10,76.6,3.6,516,13481,0.73,0.11,0.66,0.10,0.13,0.66,71.1%,1.11,76.6,0.73,1.11
138,Magisk,"['Vitality', 'Astralis', 'SK', 'Dignitas']",1497,39488,+3291,1.13,1.08,24 years,28260,47.5%,24969,1.13,79.5,5.9,1497,39488,0.72,0.15,0.63,0.09,0.09,0.63,72.7%,1.11,79.5,0.72,1.08
139,iDISBALANCE,"['Spirit', 'Nemiga']",950,25300,+2380,1.15,1.08,26 years,18097,26.9%,15717,1.15,74.0,2.5,950,25300,0.72,0.10,0.62,0.09,0.09,0.62,71.8%,1.13,74.0,0.72,1.13
140,Liazz,"['Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM']",1040,26767,+2310,1.14,1.08,25 years,18811,45.9%,16501,1.14,78.3,4.6,1040,26767,0.70,0.15,0.62,0.10,0.11,0.62,73.8%,1.07,78.3,0.70,1.08
141,dav1deuS,"['9z', 'Paquetá']",405,10770,+679,1.09,1.08,22 years,7954,54.3%,7275,1.09,81.8,3.7,405,10770,0.74,0.14,0.68,0.11,0.11,0.68,72.1%,1.17,81.8,0.74,1.14
