,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
207,paz,"['Space Soldiers', 'Sangal']",1147,30130,+1910,1.10,1.06,25 years,21471,51.3%,19561,1.10,75.2,2.5,1147,30130,0.71,0.12,0.65,0.10,0.10,0.65,71.5%,1.06,75.2,0.71,1.06
208,Skadoodle,['Cloud9'],1047,27129,+2458,1.15,1.06,29 years,18365,24.8%,15907,1.15,67.5,2.7,1047,27129,0.68,0.11,0.59,0.09,0.09,0.59,73.1%,0.95,67.5,0.68,1.06
209,shz,"['Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM']",853,22139,+1414,1.10,1.06,24 years,15770,50.9%,14356,1.10,76.9,3.2,853,22139,0.71,0.13,0.65,0.10,0.11,0.65,71.6%,1.04,76.9,0.71,1.09
210,koosta,"['CLG', 'Ghost', 'Gen.G', 'Enemy']",977,25766,+1341,1.08,1.06,26 years,18522,37.3%,17181,1.08,76.1,3.6,977,25766,0.72,0.12,0.67,0.09,0.10,0.67,69.5%,1.12,76.1,0.72,1.06
211,pancc,"['W7M', 'Sharks']",602,15875,+818,1.08,1.06,25 years,11462,53.7%,10644,1.08,79.9,5.3,602,15875,0.72,0.14,0.67,0.09,0.10,0.67,70.2%,1.15,79.9,0.72,1.11
212,TOR,"['Signature', 'Beyond']",452,11472,+657,1.09,1.06,29 years,8271,28.9%,7614,1.09,77.0,2.9,452,11472,0.72,0.12,0.66,0.08,0.09,0.66,68.9%,1.14,77.0,0.72,1.06
213,Sobol,"['HONORIS', 'PACT', 'Wisla Krakow']",963,26135,+1505,1.09,1.06,25 years,18711,52.0%,17206,1.09,78.4,4.2,963,26135,0.72,0.13,0.66,0.08,0.09,0.66,71.0%,1.07,78.4,0.72,1.09
214,tucks,['Chiefs'],727,18442,+1230,1.10,1.06,26 years,13116,44.0%,11886,1.10,76.0,4.1,727,18442,0.71,0.13,0.64,0.09,0.09,0.64,71.2%,1.11,76.0,0.71,1.06
215,Grim,"['Complexity', 'Liquid', 'Triumph', 'Dignitas']",1001,26317,+992,1.05,1.06,22 years,19030,48.8%,18038,1.05,78.7,3.6,1001,26317,0.72,0.13,0.69,0.12,0.13,0.69,71.6%,1.13,78.7,0.72,1.11
216,iM,"['GamerLegion', 'Nexus']",864,23181,+1031,1.06,1.06,23 years,17151,47.9%,16120,1.06,82.2,3.7,864,23181,0.74,0.13,0.70,0.09,0.09,0.70,69.9%,1.17,82.2,0.74,1.12
