,steamID,personaName,loccountryCode,Country,state,level,visibilityState,kdr,win,headShot,accuracy,timePlayed,roundsPlayed,roundsWon,headShots,shotsHit,shotsFired,matchesPlayed,kills,deaths,moneyEarned,pistolRoundsWon,killedKnifeFight,killsEnemyWeapon,bombsSet,totalDamage,enemiesTasered,aimingSnipersKilled,mvPs,bombsDefused,totalScore,blindedEnemiesKilled,hostagesRescued,ranking
69,76561198365913664,BLYAT,us,USA,1,1,0,1.80,98.10,18.80,16.50,148,"6,411","6,287","2,310","19,184","116,414",370,"12,309","6,830","56,834,650",306,114,0,164,"1,343,985",12,610,649,115,"18,565",100,500,73
70,76561198801797704,wasab1leus,ru,RUS,1,1,0,82.11,98.09,30.94,14.54,337,"7,968","7,816","4,484","23,816","163,804","1,718","14,493","17,651","62,322,200",440,136,0,459,"1,687,975",22,482,"1,062",174,"38,281",255,500,74
71,76561198127749468,Zacsik,ua,Ukraine,1,1,0,68.85,98.05,19.40,17.05,234,"10,138","9,940","4,251","42,708","250,508",927,"21,913","31,829","77,294,600",721,122,0,565,"2,724,189",46,"1,038","1,130",227,"33,484",203,500,75
72,76561198385519799,Kyuu ♡,ru,RUS,1,1,0,99.80,98.03,97.82,54.78,194,"104,160","102,111","100,991","111,767","204,040","100,163","103,246","103,455","62,219,250","100,163","100,003",0,"100,167","1,507,672","99,999","100,451","100,397","100,044","107,886","100,120","99,999",76
73,76561198959820078,⸸ Dragon 么₁₃,us,USA,1,1,0,33.57,97.98,36.69,16.25,120,"7,630","7,476","1,016","16,491","101,466",560,"2,769","8,249","9,115,950",162,54,0,163,"420,363",0,416,"1,015",36,"15,935",73,502,77
74,76561198179377057,Abrams,ru,RUS,1,1,0,75.63,97.97,32.12,17.55,186,"6,710","6,574","4,208","36,453","207,708",818,"13,102","17,323","58,714,600",480,102,0,351,"1,549,446",11,662,636,126,"45,949",102,501,78
75,76561198043967638,孤影k-代購 | Kevin,tw,Taiwan,1,1,0,30.24,97.91,23.06,14.78,146,"6,847","6,704","3,680","18,247","123,442","1,975","15,956","52,767","59,990,600",252,102,0,158,"2,076,646",339,99,287,105,"14,884",17,502,79
76,76561199155931819,曼城的haaland本人,ar,Argentina,1,1,0,88.26,97.91,44.86,26.38,170,"134,383","131,568","6,197","24,664","93,504","1,856","13,813","15,651","2,017,486,450",600,112,0,98,"1,405,482",38,583,"1,404",22,"29,369",351,505,80
77,76561197984590258,od1n,,,1,2,0,84.83,97.83,60.01,21.85,"1,704","36,622","35,826","31,197","171,113","783,053","1,120","51,983","61,278","197,886,175","3,066",530,0,"1,594","7,394,967",7,"2,131","7,635",800,"100,354","3,184",1,81
78,76561198260605506,skelenik,ru,RUS,1,1,0,11.09,97.83,20.93,17.76,140,"5,111","5,000","2,093","29,766","167,619",586,"10,000","90,196","50,000,000",250,110,0,258,"1,232,773",293,531,477,100,"34,429",65,500,82
79,76561198005952678,Seth.,,,1,1,0,92.43,97.81,57.30,19.33,385,"18,667","18,258","8,785","62,396","322,778",849,"15,331","16,587","55,255,850","1,600",278,0,"2,048","2,147,965",3,"2,111","2,986",334,"35,886",816,1,83
80,76561198148403525,Harley Quinn | Gamager.com,,,1,1,0,72.07,97.81,45.76,14.67,116,"7,153","6,996","2,734","18,480","125,932",570,"5,974","8,289","17,810,700",108,113,0,235,"1,679,783",10,589,"1,450",142,"23,867",70,6,84
81,76561198803210772,苺ましまろ,tw,Taiwan,1,1,0,90.42,97.80,35.50,19.88,332,"6,191","6,055","9,744","106,045","533,328","1,693","27,451","30,359","55,212,500",310,135,0,229,"3,836,246",60,"2,294",767,123,"226,695",102,500,85
82,76561198349813676,Johnny Rats,us,USA,1,1,0,81.26,97.74,18.71,18.50,110,"5,888","5,755","2,168","19,196","103,787",351,"11,590","14,263","54,225,900",329,115,0,260,"1,458,781","1,873",743,744,109,"23,643",54,500,86
83,76561198074073958,----,,,1,1,0,62.96,97.70,49.20,15.69,482,"5,911","5,775",92,553,"3,524","5,797",187,297,"18,857,850",7,0,0,0,"39,746",0,1,9,0,697,1,3,87
84,76561198813695689,Meryk,br,Brazil,1,1,0,98.96,97.70,41.81,18.64,403,"11,863","11,590","12,636","95,725","513,647","1,191","30,224","30,543","52,818,837",304,247,0,975,"4,196,781",84,"2,550","2,008",132,"177,675",803,36,88
85,76561199159019331,daddy's son,ua,Ukraine,1,1,0,31.65,97.68,6.67,32.03,141,"6,477","6,327","5,265","42,864","133,833",466,"78,965","249,474","58,453,550",399,124,0,295,"4,036,654",925,449,"1,150",122,"60,748",428,506,89
86,76561198055200559,Asano.Neru,jp,Japan,1,1,0,83.51,97.65,50.08,26.63,453,"90,674","88,544","5,462","31,953","120,000","6,409","10,907","13,061","1,302,512,150",563,165,0,230,"1,581,417",100,309,668,138,"30,159",119,503,90
87,76561198094631741,Sennet,ru,RUS,1,1,0,83.36,97.65,31.21,26.36,276,"9,869","9,637","10,215","55,157","209,263","1,477","32,730","39,264","76,692,032",820,398,0,415,"4,163,063",115,723,871,156,"50,085",198,549,91
88,76561198099952341,yungwulf,ru,RUS,1,1,0,89.17,97.64,35.22,20.74,199,"10,148","9,909","4,088","40,967","197,552",661,"11,606","13,015","76,624,050",545,162,0,366,"2,644,518",42,961,"1,633",160,"56,064",175,502,92
89,76561198447182739,qq,kz,Kazakhstan,1,1,0,91.30,97.62,39.56,16.26,205,"10,599","10,347","4,115","38,896","239,156",553,"10,402","11,393","80,421,000",718,118,0,179,"1,614,257",10,996,"1,203",162,"17,869",181,0,93
90,76561198288711500,☭SUРРОRТ Ivan,ru,RUS,1,1,0,66.71,97.62,59.21,28.72,274,"9,694","9,463","24,625","59,372","206,735","2,427","41,591","62,344","76,440,400",964,120,0,433,"5,605,649",12,719,842,167,"68,458",106,502,94
91,76561198177424402,Favorit Soul,ru,RUS,1,1,0,14.06,97.59,285.86,26.37,188,"12,943","12,631","4,628","38,450","145,785",729,"1,619","11,519","81,633,850",60,437,0,477,"1,231,671",12,"5,286","2,722",179,"46,229",140,500,95
92,76561198327473312,0czer,de,Germany,1,1,0,68.38,97.59,20.30,18.68,210,"10,595","10,340","4,329","31,879","170,621",733,"21,322","31,180","76,578,950",603,151,0,395,"2,537,819",78,"1,043","1,887",168,"47,434",150,500,96
93,76561198190268759,Soddo,no,Norway,1,1,0,72.75,97.47,44.16,17.24,798,"47,303","46,106","12,919","93,035","539,689","2,156","29,254","40,212","81,875,650","3,010",271,0,"2,235","4,522,087",42,"4,445","10,476","1,919","179,946","1,087",10,97
94,76561198177295662,Cardinal90,ru,RUS,1,1,0,80.42,97.47,39.67,16.70,275,"9,310","9,074","3,129","35,821","214,474",583,"7,887","9,807","67,877,200",409,221,0,387,"2,346,432",23,975,967,165,"19,698",229,503,98
95,76561198014126198,NEMEC,ua,Ukraine,1,1,0,99.79,97.41,97.28,52.95,"278,392","586,097","570,942","570,655","654,338","1,235,672","556,771","586,607","587,838","136,606,050","556,870","555,967",0,"556,890","7,837,320","555,561","557,254","559,283","556,004","612,299","556,764","555,555",99
96,76561198308830071,Пынгвин csgo.run,ru,RUS,1,1,0,38.88,97.37,18.35,18.14,125,"5,429","5,286","1,981","19,463","107,290",448,"10,793","27,760","50,920,800",271,100,0,272,"1,116,016",115,367,800,114,"19,892",97,500,100
