Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
MICHU,"'Virtus.pro', 'Kinguin', 'CSGL'",1732,45397,+3065,1.10,1.08
Ryxxo,"'Tricked', 'Singularity'",835,21960,+1885,1.14,1.08
FL1T,'forZe',1226,33074,+2748,1.13,1.08
hAdji,"'LDLC', 'EnVyUs Academy', '3DMAX'",1130,29823,+2256,1.11,1.08
Rickeh,"'ORDER', 'CLG', 'Rogue', 'Renegades'",948,24829,+2351,1.15,1.07
slaxz-,"'Sprout', 'ALTERNATE aTTaX'",861,23253,+2021,1.14,1.07
ptr,"'Bad News Bears', 'NRG', 'Complexity'",1132,29624,+2697,1.15,1.07
Impulse,"'Valiance', 'ONYX', 'lvlUP', 'RESISTANCE'",766,20371,+1598,1.12,1.07
nicoodoz,'Copenhagen Flames',708,19019,+1761,1.15,1.07
dapr,'eUnited',594,15426,+1002,1.10,1.07
YEKINDAR,"'pro100', 'Virtus.pro', 'EPG'",1091,28988,+1460,1.07,1.07
NaToSaphiX,"'Sprout', 'Nordavind'",948,25338,+2439,1.16,1.07
meyern,"'Furious', 'MIBR', 'Isurus', 'Sharks'",429,11185,+715,1.10,1.07
Liazz,"'Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM'",968,24980,+2089,1.14,1.07
iDISBALANCE,"'Nemiga', 'Spirit'",858,22715,+2041,1.14,1.07
autimatic,"'Cloud9', 'Gen.G'",1166,30439,+2245,1.11,1.07
shox,"'G2', 'Vitality', 'Envy'",2011,52739,+3791,1.11,1.07
trk,"'TeamOne', 'MIBR'",798,20906,+1520,1.11,1.07
fejtZ,"'SMASH', 'ArchAngels'",737,19556,+1351,1.10,1.07
jks,"'Renegades', 'Complexity', '100 Thieves'",1183,30912,+2347,1.12,1.07
dycha,"'ENCE', 'Sprout', 'Aristocracy'",783,20961,+1286,1.09,1.07
smike,"""spray'n'pray"", 'pro100', 'ACG', 'eXplosive', 'k1ck'",480,12461,+655,1.08,1.07
NikoM,"'TeamOne', 'Isurus', 'DETONA'",475,12189,+864,1.11,1.07
hallzerk,"'Dignitas', 'Nordavind'",746,20275,+1405,1.11,1.07
xand,"'INTZ', 'Yeah'",515,13210,+875,1.10,1.07
paz,"'Space Soldiers', 'Sangal'",1068,27990,+1998,1.11,1.07
CRUC1AL,"'Endpoint', 'Epsilon'",1461,38299,+2796,1.11,1.07
InfrequeNt,"'Athletico', 'Tainted Minds', 'Chiefs'",479,12350,+920,1.11,1.07
EspiranTo,"'Imperial', 'Valiance', 'CR4ZY', 'c0ntact'",871,22800,+1316,1.08,1.07
boltz,"'Immortals', 'Luminosity', 'SK', 'MIBR'",1279,33305,+2631,1.12,1.07
HObbit,"'Gambit', 'Winstrike'",1153,30411,+2217,1.11,1.07
WorldEdit,"'FlipSid3', 'pro100', 'Winstrike'",1328,34716,+2476,1.11,1.07
QKA,"'5POWER', 'UYA', 'BOOT'",402,10409,+702,1.10,1.07
hardzao,"'paiN', 'DETONA'",668,17570,+1493,1.14,1.07
fame,"'K23', 'SG.pro'",495,13219,+870,1.10,1.07
somebody,'TYLOO',1253,32437,+2141,1.10,1.07
broky,"'FaZe', 'Epsilon'",669,17849,+1546,1.14,1.07
FalleN,"'SK', 'MIBR', 'Luminosity'",1558,40764,+3694,1.15,1.07
Brollan,"'fnatic', 'GODSENT'",977,25955,+1514,1.09,1.07
anarkez,"'Finest', 'Secret'",670,17956,+1244,1.11,1.07
shroud,'Cloud9',676,17460,+1311,1.12,1.07
Pimp,"'Dignitas', 'SK', 'Liquid', 'CPH Wolves'",976,25052,+2016,1.13,1.07
shz,"'Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM'",794,20588,+1444,1.11,1.07
