Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
SKYTTEN,"'Orbit', 'LGB'",382,10157,+328,1.05,1.02
roseau,"'Recca', 'nxl'",412,10376,+119,1.02,1.02
roca,"'Splyce', 'Echo Fox', 'Complexity', 'ELEVATE'",660,17324,+195,1.02,1.02
flickz,"'Chiefs', 'Athletico', 'Dark Sided'",461,11606,+357,1.05,1.02
es3tag,"'Heroic', 'Tricked'",1302,34110,+807,1.04,1.01
xCeeD,"'The Quest', 'Triumph', 'SoaR'",438,11341,+167,1.02,1.01
chrisJ,'MOUZ',1727,45400,+1085,1.04,1.01
aproto,"'CLG Academy', 'Vision', 'BlackOut'",383,10053,+85,1.01,1.01
Nodios,"'Copenhagen Flames', 'x6tence'",718,19257,+529,1.04,1.01
Jyo,'Nemiga',1165,31131,+985,1.05,1.01
bedonka,"'Paradox', 'SYF'",379,9815,+123,1.02,1.01
Zyphon,'Copenhagen Flames',415,10947,+300,1.04,1.01
Voltage,"'The Quest', 'Triumph', 'SoaR', 'Dignitas'",420,10848,+509,1.08,1.01
delboNi,"'Imperial', 'Case', 'Yeah'",519,13450,+318,1.04,1.01
Kylar,"'AVEZ', 'Anonymo'",577,15557,+315,1.03,1.01
byali,"'Virtus.pro', 'AVEZ'",1841,48359,+1333,1.04,1.01
tatazin,"'paiN', 'Wild', 'Yeah', 'BigGods'",762,19976,+995,1.08,1.01
GruBy,"'AGO', 'AGG'",1644,43738,+753,1.03,1.01
desi,"'Winterfox', 'Complexity', 'SKDC'",430,10986,+99,1.01,1.01
shokz,"'Finest', 'Movistar Riders'",610,16254,+339,1.03,1.01
b0RUP,"'Tricked', 'Heroic', 'MAD Lions'",1405,37152,+465,1.02,1.01
HUGHMUNGUS,"'Chiefs', 'Legacy', 'Genuine', 'Funky Monkeys'",743,19269,+474,1.04,1.01
PlesseN,"'Galaxy Racer', 'Chaos', 'Japaleno', 'Red Reserve', 'fnatic Academy'",1263,33840,+211,1.01,1.01
kreaz,"'Finest', 'Apeks', 'Epsilon'",700,18596,+559,1.05,1.01
Maikelele,"'NoChance', 'GODSENT'",1067,28134,+945,1.05,1.01
Lekr0,"'Dignitas', 'NIP', 'fnatic', 'GODSENT'",1302,34804,+774,1.03,1.01
mitch,"'Selfless', 'Bad News Bears', 'Dignitas', 'Riot Squad'",807,20719,+632,1.05,1.01
SHOCK,'SINNERS',675,18121,+421,1.04,1.01
hampus,"'NIP', 'GamerLegion', 'Red Reserve', 'GODSENT'",1357,36082,+243,1.01,1.01
jedqr,"'Wisla Krakow', 'x-kom'",819,22194,+590,1.04,1.01
Noobster,"'Ground Zero', 'Paradox', 'SYF'",496,12790,+203,1.02,1.01
Viva,"'Invictus', '5POWER', 'CyberZen'",597,15834,+480,1.05,1.01
Swisher,"'Bad News Bears', 'Yeah'",580,15133,+182,1.02,1.01
obj,"'OFFSET', 'eXploit', 'Giants', 'AlienTech'",418,10936,+423,1.06,1.01
1962,"'Isurus', 'Leviatan'",572,14881,-12,1.00,1.01
spyleadeR,"'E-frag.net', 'MK', 'GPlay'",899,23232,+93,1.01,1.01
ap0c,"'Looking For Org', 'AVANT', 'Tainted Minds', 'Chiefs'",915,23424,+265,1.02,1.01
EasTor,"'Movistar Riders', 'OFFSET'",493,13123,+345,1.04,1.01
stadodo,"'SAW', 'OFFSET'",761,20009,+598,1.05,1.01
arT,'FURIA',978,25368,+129,1.01,1.01
mirbit,"'ALTERNATE aTTaX', 'EURONICS', 'Sprout', 'Nordavind'",866,23162,+926,1.06,1.01
Friis,"'SK', 'fnatic', 'Heroic', 'Tricked'",938,24254,+747,1.05,1.01
grux,"'Savage', 'Red Reserve', 'SMASH'",490,13084,+238,1.03,1.01
dazzLe,"'eUnited', 'Rise Nation', 'New Identity'",690,17971,-8,1.00,1.01
ayaya,"'Eclipse', 'Born Of Fire', 'Flash', 'AllGamers'",462,11695,+102,1.01,1.01
reatz,"'PRIDE', 'Illuminar', 'Kinguin'",1510,40591,+733,1.03,1.01
Stewie2K,"'Cloud9', 'Liquid'",1525,39802,+376,1.01,1.01
kalinka,"'HellRaisers', 'Playing Ducks'",855,22891,+157,1.01,1.01
Jinxx,"'Genuine', 'Taboo', 'Chiefs'",400,10511,+283,1.04,1.01
siuhy,"'MOUZ NXT', 'Izako Boars'",478,12807,+43,1.00,1.01
to1nou,"'LDLC', 'LDLC White'",850,22377,+520,1.04,1.01
DickStacy,"'Grayhound', 'Dark Sided'",624,15708,+346,1.03,1.01
jR,"'Vega Squadron', 'HellRaisers'",892,23804,+554,1.04,1.01
zqkS,"'Imperial', 'Yeah', 'Keyd'",755,19530,+722,1.06,1.01
DESPE,'Space Soldiers',468,12127,+320,1.04,1.01
kioShiMa,"'Envy', 'Heretics', 'FaZe'",1495,39250,+1292,1.05,1.01
speed4k,"'DreamEaters', 'Nemiga'",767,20579,+568,1.04,1.01
FugLy,"'NRG', 'Liquid', 'Envy'",1083,28153,+621,1.03,1.01
emagine,"'ORDER', 'Kings', 'Winterfox', 'Immunity'",751,18931,+487,1.04,1.01
Polt,"'1WIN', 'Unique'",510,13490,+417,1.05,1.01
Nifty,"'Renegades', 'Envy', 'Selfless'",865,22686,+310,1.02,1.01
Tsogoo,"'TheMongolz', 'Mazaalai'",472,12038,+137,1.02,1.00
MINISE,"'PACT', 'PRIDE', 'Kinguin'",1871,49905,+605,1.02,1.00
waterfaLLZ,"'Quantum Bellator Fire', 'PiTER', 'AVE', 'EPG'",899,23842,+341,1.02,1.00
pounh,"'Playing Ducks', 'Imperial', '1337HUANIA'",401,10552,+91,1.01,1.00
Zero,"'GamerLegion', 'HellRaisers'",1070,28470,+765,1.04,1.00
innocent,"'Anonymo', 'Illuminar', 'CSGL'",1755,46195,+542,1.02,1.00
Relyks,"'eUnited', 'Enemy', 'Selfless', 'New Identity'",832,21258,+161,1.01,1.00
fenvicious,"'Unique', 'Spirit Academy', 'EPG'",729,19059,+141,1.01,1.00
glace,"'North Academy', 'Tricked', 'Rogue', 'No Problem!'",589,15307,+366,1.04,1.00
Oderus,"'Spacestation', 'BlackOut', 'The Pioneers'",473,12356,-52,0.99,1.00
1uke,"'Spirit Academy', 'HOLLYWOOD', 'PLINK'",623,16179,+223,1.02,1.00
Edward,'Natus Vincere',1473,38787,+689,1.03,1.00
leo_drk,"'Sharks', '00NATION'",597,15378,+31,1.00,1.00
R0b3n,"'Unique', 'Space Jam', 'ex-ETHEREAL'",526,13849,+235,1.03,1.00
Lack1,"'Entropiq', 'Winstrike'",881,23558,+103,1.01,1.00
SIXER,"'LDLC', 'Envy'",1084,28593,+963,1.05,1.00
hazed,"'CLG', 'Mythic'",736,19138,-81,0.99,1.00
xiaosaGe,"'5POWER', 'Invictus', 'UYA'",847,22333,+35,1.00,1.00
ALLE,"'Isurus', 'Liberty', 'Redemption POA', 'C4'",409,10862,+122,1.02,1.00
nitr0,'Liquid',1381,35984,+561,1.02,1.00
kenzor,'pro100',598,15627,+57,1.01,1.00
Djoko,"'HEET', 'DBL PONEY'",459,12166,+5,1.00,1.00
almazer,'forZe',1307,35123,+576,1.03,1.00
cbbk,"'Lucid Dream', 'Beyond'",404,10342,+163,1.02,1.00
dzt,"'Imperial', 'Case', 'BigGods'",676,17504,+148,1.01,1.00
KILLDREAM,"'AlienTech', 'k1ck', 'Giants'",429,11159,-16,1.00,1.00
Basso,'Copenhagen Flames',582,15218,+265,1.03,1.00
RoLEX,"'Signature', 'ZIGMA', 'Beyond', 'MiTH'",492,12610,+33,1.00,1.00
zeff,'MVP PK',482,12229,+54,1.01,1.00
cromen,'Nordavind',653,17335,+67,1.01,1.00
SZPERO,"'Wisla Krakow', 'Kinguin', 'AGO'",2058,54420,+850,1.02,1.00
adreN,"'Liquid', 'Mythic'",697,18241,+380,1.03,1.00
supra,"'Gambit Youngsters', 'Nordavind'",531,14249,+65,1.01,1.00
xseveN,"'HAVU', 'ENCE', 'iGame.com', 'RCTIC'",1275,33704,+360,1.02,1.00
mopoz,'Movistar Riders',1108,29419,-46,1.00,1.00
void,"'Ground Zero', 'Dark Sided'",437,11368,+127,1.02,1.00
pyth,"'NIP', 'Vexed'",756,19801,-5,1.00,1.00
mds,'Nemiga',1087,29074,+459,1.02,1.00
MODDII,"'Heroic', 'SK'",1170,30550,+401,1.02,1.00
ImpressioN,"'NKT', 'BOOT-d[S]', 'BTRG', 'dream[S]cape'",674,17451,+106,1.01,1.00
cam,"'Singularity', 'Gorilla Gang', 'Chaos'",544,13974,+169,1.02,1.00
freakazoid,"'Swole Patrol', 'Cloud9', 'Echo Fox'",886,22716,+43,1.00,1.00
peet,"'AGG', 'Vexed', 'SEAL', 'eBettle'",379,9993,+97,1.01,1.00
STYKO,"'HellRaisers', 'MOUZ', 'GODSENT'",1532,40373,+448,1.02,1.00
pecks,'Chiefs',389,9930,+162,1.03,1.00
Cabbi,"'MASONIC', 'Lyngby Vikings', 'AGF'",438,11688,-122,0.99,1.00
Noktse,'Isurus',775,20277,+241,1.02,1.00
Liki,"'Looking For Org', 'Dire Wolves', 'Bizarre', 'Skyfire'",388,9830,+210,1.03,1.00
magixx,'Spirit',624,16486,+314,1.03,1.00
truth,"'Apeks', 'ATK', 'Vexed'",479,12857,+49,1.01,1.00
vice,"'Rogue', 'Cloud9'",493,12707,+128,1.01,1.00
Bååten,"'x6tence Galaxy', 'Red Reserve', 'fnatic Academy', 'Chaos'",738,19661,+39,1.00,1.00
Jerry,'forZe',1538,41337,+350,1.01,1.00
xelos,"'Lemondogs', 'Epsilon', 'AliGon'",433,11435,+28,1.00,1.00
uli,'KOVA',560,15011,+198,1.02,1.00
reversive,"'Leviatan', 'Isurus'",612,16009,+150,1.01,0.99
freddieb,"'Epsilon', 'GODSENT', 'Red Reserve'",1135,30119,+180,1.01,0.99
SEMPHIS,"'Splyce', 'TSM', 'Complexity'",848,21936,-33,1.00,0.99
dephh,'Complexity',768,20106,-232,0.98,0.99
MUTiRiS,"'SAW', 'k1ck', 'Giants'",1206,31501,+162,1.01,0.99
DeathZz,'Movistar Riders',483,12896,+133,1.02,0.99
Vegi,"'Virtus.pro', 'PACT', 'Illuminar'",775,21174,-131,0.99,0.99
robiin,"'Endpoint', 'DenDD'",1502,40013,-52,1.00,0.99
YDNA,"'Breakaway', 'Funky Monkeys', 'Dark Sided'",435,11265,+103,1.01,0.99
gMd,"'Rogue', 'FRENCH CANADIANS', 'LiViD', 'Spacestation'",464,12098,-47,0.99,0.99
ALEX,"'LDLC', 'Vitality', 'fnatic'",1162,30750,-372,0.98,0.99
notaN,"'MASONIC', 'Singularity', 'OPAA', 'Alpha'",424,11256,+46,1.01,0.99
markeloff,"'FlipSid3', 'HellRaisers'",1143,29624,+488,1.03,0.99
VINI,'FURIA',975,25398,+33,1.00,0.99
Puls3,"'Endpoint', 'FMESPORTS'",436,11572,+74,1.01,0.99
neptune,"'Ghost', ""Bee's Money Crew"", 'Recon 5'",498,13218,-23,1.00,0.99
rbz,"'Paradox', 'Corvidae'",647,16903,+138,1.01,0.99
BENDJI,"'Singularity', 'DenDD'",878,23318,+137,1.01,0.99
dukefissura,"'Unique', '100PG'",381,10223,-117,0.98,0.99
jaxi,'Nexus',472,12125,+183,1.02,0.99
BARBARR,"'Epsilon', 'x6tence Galaxy', 'Singularity'",876,23180,-20,1.00,0.99
realz1n,"'W7M', 'Sharks', 'FURIA Academy'",555,14699,+103,1.01,0.99
kory,"'Sangal', 'Budapest Five', 'Salamander'",462,12291,-78,0.99,0.99
Dima,"'Spirit', 'Espada'",1310,34466,-527,0.98,0.99
JIaYm,"'HellRaisers', 'bankaPEPSI'",523,14183,-291,0.97,0.99
ANGE1,'HellRaisers',1728,45027,-685,0.98,0.99
kaboose,"'Selfless', 'Vision'",549,14235,-305,0.97,0.99
bubble,"'Windigo', 'E-frag.net', 'Fiend'",2177,57121,+704,1.02,0.99
morelz,"'PRIDE', 'Virtus.pro'",1066,28354,-217,0.99,0.99
facecrack,"'forZe', 'PiTER'",1686,45000,-727,0.98,0.99
Drone,"'Splyce', 'Envy'",454,11841,-168,0.98,0.99
krii,"'EPG', 'Wolsung'",398,10522,+5,1.00,0.99
djay,"'Party Astronauts', 'New England Whalers'",827,21378,-33,1.00,0.99
k1to,"'BIG', 'ALTERNATE aTTaX', 'Sprout'",1215,32305,-378,0.98,0.99
sXe,"'Nexus', 'XPC'",567,14684,-56,0.99,0.99
Dosia,"'Gambit', 'HellRaisers'",1431,37517,+293,1.01,0.99
vanity,"'Chaos', 'eUnited', 'Gorilla Gang'",609,15688,+80,1.01,0.99
JACKZ,"'G2', 'EnVyUs Academy', '3DMAX'",1068,28401,-118,0.99,0.99
fitch,"'AVANGAR', 'Tengri', 'Gambit'",574,15207,-210,0.98,0.99
gade,"'North', 'North Academy', 'OpTic'",964,25326,-128,0.99,0.99
SAGGERTON,"'iGame.com', 'RCTIC', 'LGR'",540,14097,-231,0.98,0.99
larsen,"'Tricked', 'Movistar Riders'",607,16049,+141,1.01,0.99
jabbi,"'Copenhagen Flames', 'Singularity'",767,20580,+75,1.01,0.99
Lukki,"'Tricked', 'AGF', 'Singularity'",893,23437,-9,1.00,0.99
rmn,"'SAW', 'k1ck', 'Giants'",1100,28738,-64,1.00,0.99
pesadelo,"'TeamOne', 'RED Canids'",584,15257,-245,0.98,0.99
AZR,"'Renegades', '100 Thieves', 'EXTREMUM'",1093,28528,-175,0.99,0.99
ryotzz,'W7M',447,11613,-154,0.98,0.99
J1rah,"'ORDER', 'Breakaway'",782,20288,-14,1.00,0.99
gla1ve,"'Astralis', 'CPH Wolves'",1649,43332,+187,1.01,0.99
DAVEY,"'Splyce', 'Mythic', 'Spacestation'",800,20694,-283,0.98,0.99
Jonji,"'Bad News Bears', 'Rise Nation', 'Chaos'",1061,27190,-453,0.98,0.98
Furlan,'AGO',2078,55329,-615,0.98,0.98
bodyy,"'G2', 'DBL PONEY', 'LDLC'",1297,34380,-255,0.99,0.98
stellar,"'Party Astronauts', 'Vireo.pro', 'Divine', 'AA'",427,10968,+26,1.00,0.98
Xizt,"'NIP', 'fnatic'",1665,42830,+507,1.02,0.98
Daffu,"'ECSTATIC', 'Lyngby Vikings', 'Copenhagen Flames'",681,18217,+126,1.01,0.98
RUBINO,"'Dignitas', 'Nordavind', 'LGB'",998,26140,-170,0.99,0.98
AdreN,"'Gambit', 'HellRaisers', 'K23'",1767,46454,-217,0.99,0.98
apocdud,"'VERTEX', 'Chiefs', 'Genuine'",726,18826,-62,1.00,0.98
bew,"'New England Whalers', 'High Coast', 'Yeah'",376,10079,-57,0.99,0.98
Perfecto,"'Natus Vincere', 'Syman'",695,18375,+418,1.04,0.98
ryann,"'Singularity', 'Swole Patrol', 'Envy', 'Gorilla Gang'",697,17857,-269,0.98,0.98
Zix,'Bpro',400,10329,-166,0.98,0.98
chop,"'Carpe Diem', 'RBG', 'Kinship'",429,11442,-57,0.99,0.98
NEKIZ,"'paiN', 'Luminosity'",959,25204,-212,0.99,0.98
DeadFox,'HellRaisers',807,21060,-54,1.00,0.98
NickelBack,"'Entropiq', 'pro100', 'Winstrike'",1355,36025,-33,1.00,0.98
isak,"'GamerLegion', 'Lilmix'",580,15698,-30,1.00,0.98
zende,"'DenDD', 'Property'",397,10444,-1,1.00,0.98
bq,'Lilmix',395,10650,-196,0.97,0.98
Spiidi,"'Sprout', 'MOUZ'",2029,53839,+181,1.01,0.98
anger,"'Mythic', 'Winterfox', 'Denial', 'Luminosity'",682,17700,-229,0.98,0.98
WOOD7,"'Bravos', 'MIBR', 'RED Canids'",547,14292,+274,1.03,0.98
Llamas,"'Ground Zero', 'Breakaway', 'SYF'",451,11530,-25,1.00,0.98
doto,"'HAVU', 'ENCE'",648,17287,-184,0.98,0.98
raalz,"'Sprout', 'Lyngby Vikings', 'Ambush'",883,23816,-228,0.99,0.98
tifa,"'Imperial', 'BigGods', 'Keyd'",407,10476,-109,0.98,0.98
kwezz,'Tricked',599,16062,-109,0.99,0.98
wiz,"'Carpe Diem', 'RBG'",471,12523,+56,1.01,0.98
BIT,"'TeamOne', '9z', 'Não Tem Como'",727,18792,+64,1.01,0.98
SHOOWTiME,"'Luminosity', 'Imperial', 'Tempo Storm'",972,25140,-280,0.98,0.98
syken,"'expert', 'EURONICS'",413,10832,-248,0.97,0.98
sinnopsyy,"'BLINK', 'Secret'",619,16633,-479,0.96,0.98
Radifaction,"'Secret', 'Nordavind', 'NoChance', 'Apeks'",506,13559,-157,0.98,0.98
jnt,'Sharks',628,16249,+137,1.01,0.98
prt,"'TeamOne', 'DETONA'",732,18994,-110,0.99,0.98
niki1,"'FATE', 'Bpro', 'Outlaws'",1020,26614,-320,0.98,0.98
BURNRUOk,"'Ground Zero', 'Grayhound', 'Immunity'",860,22168,-518,0.97,0.98
Boombl4,"'Natus Vincere', 'Winstrike', 'Quantum Bellator Fire'",1085,28745,-420,0.98,0.98
Sergiz,"'CR4ZY', 'Project X', 'Akuma', 'Windigo Academy'",456,12110,+86,1.01,0.98
PERCY,"'Secret', 'Sprout', 'Tricked'",1030,27376,-400,0.98,0.98
blocker,"'Windigo', 'FATE', 'Bpro'",864,22973,-511,0.97,0.97
RUSH,"'Cloud9', 'Complexity', 'OpTic'",1413,36954,-371,0.99,0.97
Fadey,"'ATK', 'Bravado'",673,17326,-549,0.96,0.97
SPELLAN,"'SKADE', 'Outlaws', 'Windigo', 'Epsilon'",1432,37492,-231,0.99,0.97
DeStRoYeR,"'Invictus', 'EHOME', 'BOOT'",592,15658,-188,0.98,0.97
RpK,"'Vitality', 'Envy', 'Titan', 'G2'",1499,39100,-617,0.98,0.97
mono,"'x-kom', 'Illuminar', 'Izako Boars'",662,17680,-17,1.00,0.97
ZEDKO,"'SINNERS', 'eXtatus'",1097,29065,-252,0.99,0.97
FinigaN,'Espada',496,13338,+84,1.01,0.97
leman,'AGO',486,13115,-135,0.98,0.97
propleh,"'1WIN', 'Monolith', 'Spartak'",392,10418,-98,0.99,0.97
jmqa,"'Quantum Bellator Fire', 'PiTER', 'EPG'",922,24189,-273,0.98,0.97
Keoz,"'Syman', 'LDLC', 'K23'",810,21571,-584,0.96,0.97
seb,"'Ghost', 'New Identity', ""Bee's Money Crew""",603,15586,-224,0.98,0.97
RuStY,"'GamerLegion', 'Singularity', 'Red Reserve'",1287,34770,-374,0.98,0.97
oskarish,"'x-kom', 'Illuminar', 'AGO'",1028,27383,-303,0.98,0.97
Queenix,"'MASONIC', 'x6tence', 'Copenhagen Flames', 'Singularity'",442,11868,-80,0.99,0.97
kUcheR,"'HellRaisers', 'Virtus.pro'",852,22314,-145,0.99,0.97
Marek,"'EHOME', 'After'",415,10887,-140,0.98,0.97
stk,"'Beyond', 'Signature', 'Alpha Red'",591,15136,-223,0.98,0.97
ELUSIVE,'Bravado',397,10059,+56,1.01,0.97
ice,"'Unique', '100PG'",430,11515,-241,0.97,0.97
SOKER,"'Movistar Riders', 'x6tence', 'k1ck'",642,16858,-424,0.96,0.97
Drea3er,"'New4', 'FIVE', 'BTRG'",406,10435,-307,0.96,0.97
PKL,"'paiN', 'Luminosity', 'Wild'",1124,29388,-394,0.98,0.97
DEVIL,"'LDLC', 'Envy', 'LDLC White', '3DMAX'",636,16582,-291,0.97,0.97
seized,'Natus Vincere',1507,39658,-592,0.98,0.97
MAIROLLS,"'Alpha Red', 'Beyond', 'NSPR'",495,12791,-213,0.98,0.97
gabesson,"'GameAgents', 'volgare'",441,11654,-264,0.97,0.97
Sapec,'Young Ninjas',428,11466,-362,0.96,0.97
Mayker,"'Genuine', 'Chiefs', 'Surge'",433,11216,-220,0.97,0.97
TMB,"'MAD Lions', 'AGF', 'Copenhagen Flames'",685,18224,-407,0.97,0.97
The eLiVe,"'Enterprise', 'Universe'",470,12703,-181,0.98,0.97
KHRN,"'SJ', 'HAVU'",935,24443,-245,0.98,0.97
Leaf,"'Lucid Dream', 'Maple', 'Signature'",398,10120,-71,0.99,0.97
starix,"'Natus Vincere', 'Spirit'",625,16451,-241,0.98,0.97
chopper,"'Spirit', 'Vega Squadron'",1089,28848,-394,0.98,0.97
reltuC,'CLG',865,22664,-74,1.00,0.97
Surreal,"'Endpoint', 'Epsilon', 'Complexity'",1507,39489,-721,0.97,0.97
phr,"'Illuminar', 'AGO', 'Virtus.pro'",1291,34592,-403,0.98,0.96
Hyper,"'AGG', 'Vexed', 'Kinguin', 'Izako Boars'",646,16949,-167,0.99,0.96
LUCAS1,"'Immortals', 'Luminosity', 'MIBR', 'Tempo Storm'",943,24480,-481,0.97,0.96
Maniac,"'LDLC', 'Titan'",837,22049,-388,0.97,0.96
SmithZz,"'G2', 'Titan', 'VeryGames', 'Envy', 'LDLC'",1161,30130,-543,0.97,0.96
nafany,"'Gambit Youngsters', 'Gambit'",854,22679,-670,0.96,0.96
ProbLeM,"'HellRaisers', 'bankaPEPSI'",547,14838,-268,0.97,0.96
kaper,"'AGO', 'Kinguin', 'Wisla Krakow', 'adwokacik'",536,14240,-168,0.98,0.96
Walco,"'Carpe Diem', 'RBG'",474,12594,-411,0.95,0.96
SEMINTE,"'Nexus', 'XPC'",663,17364,-441,0.96,0.96
SADDYX,'SJ',647,17350,-363,0.97,0.96
maeVe,"'Tricked', 'Escape', 'Reason'",487,12606,-131,0.98,0.96
Kairi,"'x6tence', 'PENTA'",404,10297,-204,0.97,0.96
Tommy,'BOOT-d[S]',387,9900,-323,0.95,0.96
HOLMES,"'Squared', 'BLUEJAYS'",430,11258,-314,0.96,0.96
stanislaw,"'Evil Geniuses', 'OpTic', 'Complexity', 'Liquid'",1314,33991,-487,0.98,0.96
w1nt3r,"'Unique', '100PG', 'Se7en', 'BOOT-d[S]'",552,14753,-167,0.98,0.96
Aleksib,"'OG', 'ENCE', 'HAVU'",1010,26800,-328,0.98,0.96
bodito,"'Budapest Five', 'Salamander', 'Pixel', 'Sensei'",427,11471,-404,0.95,0.96
nosraC,"'Gaimin Gladiators', 'Rebirth', 'ChocoCheck', 'Recon 5'",461,12164,-372,0.96,0.96
xms,"'Envy', 'Heretics', 'LDLC'",712,18783,-624,0.95,0.96
0i,"'Invictus', 'New4', 'FIVE', 'After'",484,12676,-383,0.96,0.96
JazzPimp,"'Gaimin Gladiators', 'Recon 5', 'ChocoCheck'",407,10648,-315,0.96,0.96
Uber,"'Enemy', 'Complexity', 'Selfless'",398,10027,-299,0.96,0.96
tiziaN,"'BIG', 'ALTERNATE aTTaX'",1729,45729,-797,0.97,0.96
misutaaa,'Vitality',423,11199,-336,0.95,0.96
glow,'MVP PK',395,10045,-99,0.98,0.96
Kvik,"'Quantum Bellator Fire', 'Winstrike'",780,20389,-667,0.95,0.96
Kristou,"'AGF', 'North'",390,10304,-326,0.95,0.96
Snappi,"'ENCE', 'Heroic', 'OpTic'",1561,41172,-845,0.97,0.96
expro,"'Lynn Vision', 'Invictus', 'EHOME'",424,11240,-286,0.96,0.96
MAJ3R,"'Space Soldiers', 'Sangal'",1050,27515,-524,0.97,0.96
nbl,'Isurus',588,15168,-503,0.95,0.96
LOGAN,"'LDLC', 'Heretics'",590,15692,-300,0.97,0.96
smF,"'CPH Wolves', 'Secret', 'LPSP'",817,21404,-376,0.97,0.96
YJ,'W7M',514,13425,-71,0.99,0.96
kinqie,"'DreamEaters', 'Hard Legion'",631,16775,-597,0.95,0.96
tahsiN,"'Berzerk', 'PENTA', 'KILLERFISH'",591,15363,-630,0.94,0.96
maNkz,"'ECSTATIC', 'Lyngby Vikings', 'Copenhagen Flames', 'x6tence'",656,17640,-489,0.96,0.96
NEO,"'HONORIS', 'Virtus.pro'",2026,52885,-1524,0.96,0.96
ponczek,'Wisla Krakow',499,13450,-245,0.97,0.95
denis,"'Sprout', 'MOUZ'",1830,48692,-1848,0.95,0.95
alexRr,"'expert', 'Planetkey', 'DIVIZON'",433,11346,-554,0.93,0.95
dezon,"'Savage', 'Galaxy Racer', 'Japaleno'",547,14700,-248,0.97,0.95
dumz,"'DenDD', 'Singularity', 'Manatee'",455,12074,-320,0.96,0.95
RZU,"'Triumph', 'Bad News Bears', 'Rugratz'",443,11610,-499,0.94,0.95
friberg,"'Dignitas', 'NIP', 'Heroic'",1957,50987,-1696,0.95,0.95
caike,"'g3x', 'Yeah', 'Isurus', 'TeamOne'",501,13104,-374,0.96,0.95
H4RR3,"'777', 'Nordavind'",640,17259,-709,0.94,0.95
JT,"'Extra Salt', 'Bravado', 'ATK', 'Cloud9'",1044,27089,-833,0.95,0.95
TaZ,"'HONORIS', 'Virtus.pro', 'Kinguin'",2157,56623,-1492,0.96,0.95
steel,"'Movistar Riders', 'Luminosity', 'Immortals'",1447,37826,-869,0.97,0.95
devoduvek,"'LDLC', 'Misfits', 'Heretics'",643,17057,-588,0.95,0.95
Console,"'Tricked', 'ALTERNATE aTTaX', 'Copenhagen Flames', 'Singularity'",708,18612,-582,0.95,0.95
CONNOR93,"'Ghost', ""Bee's Money Crew"", 'BlackOut', 'The Pioneers'",449,11544,-457,0.94,0.95
soju_j,"'Legacy', 'AVANT', 'Chiefs', 'Dire Wolves'",554,14231,-410,0.96,0.95
PR1mE,'Tricked',396,10694,-396,0.95,0.95
dERZKIY,"'K29', 'ANOX'",414,10809,-400,0.95,0.95
darko,'PACT',799,21686,-801,0.95,0.95
KrizzeN,"'AVANGAR', 'Winstrike'",763,20020,-368,0.97,0.95
Grusarn,"'777', 'Apeks'",543,14836,-779,0.93,0.95
AcilioN,"'Apeks', 'Copenhagen Flames', 'SK'",1728,45574,-1467,0.95,0.95
RAiLWAY,"'INDE IRAE', 'Espada'",445,11946,-653,0.93,0.95
beastik,'SINNERS',665,17860,-649,0.95,0.95
flashie,"'GameAgents', 'Orgless'",585,15493,-522,0.95,0.95
strux1,"'PENTA', '3DMAX', 'Planetkey'",403,10276,-246,0.96,0.95
ecfN,'ALTERNATE aTTaX',426,11214,-471,0.94,0.95
oxygeN,'SKADE',507,13623,-446,0.95,0.95
Karsa,"'Flash', 'OneThree', 'EHOME'",457,11674,-290,0.96,0.95
arvid,'SJ',892,23926,-1030,0.94,0.95
Inzta,"'Tricked', 'Singularity'",754,19798,-849,0.94,0.94
Rock1nG,"'SKADE', 'Outlaws', 'Bpro'",883,23271,-1025,0.94,0.94
uNdo,"'Unique', 'Quantum Bellator Fire', 'Space Jam'",432,11267,-371,0.95,0.94
vSa,"'Rise Nation', 'Vision', 'Ghost'",385,10066,-322,0.95,0.94
Fifflaren,'NIP',538,13220,-40,0.99,0.94
boX,"'Nemiga', 'GoodJob'",1248,33224,-1306,0.94,0.94
kzy,"'EURONICS', 'ALTERNATE aTTaX', 'Unicorns of Love'",986,25705,-845,0.95,0.94
TOAO,"'AGO', 'Izako Boars'",1106,29520,-1061,0.95,0.94
SileNt,"'Swole Patrol', 'Method', 'NRG'",624,16235,-788,0.93,0.94
Twixie,"'KOVA', 'HAVU'",745,20248,-747,0.95,0.94
tonyblack,'Spirit',826,21699,-725,0.95,0.94
BRACE,'VERTEX',393,10219,-437,0.94,0.94
rafftu,"'SKADE', 'Bpro', 'FATE'",491,13172,-517,0.94,0.94
arch,"'Preparation', 'Spirit', 'Worst Players'",593,15530,-658,0.94,0.94
Sidney,"'UNGENTIUM', 'AGO', 'PACT', 'Illuminar'",443,11990,-395,0.95,0.94
interz,"'Gambit Youngsters', 'Gambit'",836,22227,-175,0.99,0.94
EXUS,"'PRIDE', 'Izako Boars'",882,23538,-1079,0.93,0.94
RIZZZ,"'OFFSET', 'Giants'",422,11051,-552,0.93,0.94
LOMME,"'North Academy', 'Tricked', 'No Problem!'",623,16172,-532,0.95,0.94
Polly,"'LGB', 'London Conspiracy', 'Apeks'",451,11723,-545,0.93,0.94
