Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
Lucaozy,Lucas Neves,Fluxo,21 years,10095,50.8%,9002,1.12,76.6,3.2,523,14073,0.72,0.11,0.64,0.09,0.1,1.11
dycha,Paweł Dycha,ENCE,25 years,17414,53.2%,16037,1.09,81.1,4.8,894,23982,0.73,0.14,0.67,0.09,0.09,1.12
DD,Hui Wu,N/A,28 years,17450,41.9%,15927,1.1,81.5,3.1,917,23728,0.74,0.16,0.67,0.11,0.1,1.06
fame,Petr Bolyshev,Outsiders,19 years,11309,57.4%,10269,1.1,77.4,3.5,587,15634,0.72,0.11,0.66,0.09,0.11,1.11
snatchie,Michał Rudzki,Entropiq,25 years,31588,29.5%,28999,1.09,72.7,1.6,1629,43656,0.72,0.09,0.66,0.08,0.09,1.06
shalfey,Aleksandr Marenov,forZe,20 years,10486,46.3%,9232,1.14,77.8,3.8,544,14712,0.71,0.12,0.63,0.08,0.09,1.12
HObbit,Abay Khassenov,Cloud9,28 years,23546,46.5%,21289,1.11,80.0,5.6,1233,32570,0.72,0.14,0.65,0.08,0.08,1.06
CLASIA,Anthony Kearney,yur,19 years,7545,49.8%,6877,1.1,79.7,4.7,397,10389,0.73,0.14,0.66,0.09,0.1,1.11
s4ltovsk1yy,Kyrylo Lytvynov,IKLA,21 years,9232,40.7%,8150,1.13,71.1,2.9,485,13226,0.7,0.09,0.62,0.08,0.09,1.1
smike,Sergey Sklyarenko,schadE halt,24 years,9538,33.0%,8937,1.07,75.3,1.3,496,12846,0.74,0.1,0.7,0.09,0.08,1.06
ofnu,Chris Hanley,N/A,29 years,15793,48.9%,14413,1.1,79.7,5.2,852,21778,0.73,0.15,0.66,0.1,0.1,1.06
acoR,Frederik Gyldstrand,GamerLegion,25 years,21100,37.6%,18896,1.12,73.2,3.7,1140,29898,0.71,0.1,0.63,0.09,0.1,1.06
boltz,Ricardo Prass,Imperial,25 years,24980,39.2%,22338,1.12,81.6,8.9,1349,35243,0.71,0.17,0.63,0.08,0.09,1.06
AnJ,Allan Jensen,N/A,28 years,7530,50.7%,6767,1.11,77.2,3.8,403,10503,0.72,0.12,0.64,0.09,0.12,1.06
slaxz-,Fritz Dietrich,ALTERNATE aTTaX,24 years,20416,29.3%,18092,1.13,72.1,3.3,1078,29303,0.7,0.1,0.62,0.09,0.09,1.1
Ethan,Ethan Arnold,N/A,22 years,18853,49.4%,17365,1.09,81.4,4.3,986,25998,0.73,0.15,0.67,0.11,0.11,1.14
NikkeZ,Nikhil Victor,N/A,27 years,8060,46.5%,7511,1.07,82.7,4.5,420,10817,0.75,0.15,0.69,0.09,0.1,1.06
Rainwaker,Aleks Petrov,500,21 years,24562,41.6%,22033,1.11,77.8,4.5,1294,34943,0.7,0.13,0.63,0.08,0.1,1.11
SHiPZ,Georgi Grigorov,500,22 years,36748,49.8%,34243,1.07,79.5,3.8,1862,49733,0.74,0.13,0.69,0.1,0.1,1.11
trk,Alencar Rossato,TeamOne,27 years,17844,48.6%,16196,1.1,78.6,5.0,950,24822,0.72,0.14,0.65,0.12,0.12,1.13
Happy,Vincent Schopenhauer,N/A,31 years,28022,41.2%,25277,1.11,77.5,2.7,1464,37933,0.74,0.12,0.67,0.06,0.07,1.06
roeJ,Fredrik Jørgensen,fnatic,29 years,19117,54.9%,17651,1.08,83.3,4.3,976,25759,0.74,0.15,0.69,0.11,0.11,1.15
zhokiNg,WeiJie Zhong,Take me away,29 years,23839,50.9%,22397,1.06,83.7,3.8,1240,31723,0.75,0.17,0.71,0.12,0.1,1.06
malbsMd,Mario Samayoa,TeamOne,20 years,12667,63.0%,12079,1.05,80.5,5.3,661,16933,0.75,0.12,0.71,0.11,0.11,1.11
Maka,Bryan Canda,HEET,25 years,23942,35.5%,21580,1.11,74.6,4.6,1272,33821,0.71,0.11,0.64,0.09,0.09,1.1
afro,Aurélien Drapier,LDLC,23 years,12967,33.9%,11724,1.11,72.7,5.1,691,18495,0.7,0.11,0.63,0.08,0.09,1.09
Brollan,Ludvig Brolin,Ninjas in Pyjamas,20 years,20543,52.4%,19044,1.08,78.9,4.9,1071,28421,0.72,0.13,0.67,0.09,0.1,1.11
COLDYY1,Pavel Veklenko,N/A,30 years,17902,55.1%,16184,1.11,77.5,3.9,947,24917,0.72,0.13,0.65,0.09,0.11,1.06
Valiance,Matthew Hartrick,N/A,22 years,11998,51.7%,10865,1.1,75.6,3.6,662,17113,0.7,0.13,0.63,0.1,0.11,1.1
b4rtiN,Bruno Câmara,N/A,21 years,10164,55.1%,9216,1.1,74.7,3.6,547,14329,0.71,0.12,0.64,0.1,0.11,1.1
shz,Bruno Martinelli,O PLANO,24 years,15673,51.0%,14241,1.1,77.0,3.2,847,21981,0.71,0.13,0.65,0.1,0.11,1.1
paz,Ahmet Karahoca,N/A,25 years,21471,51.3%,19561,1.1,75.2,2.5,1147,30130,0.71,0.12,0.65,0.1,0.1,1.06
Skadoodle,Tyler Latham,N/A,29 years,18365,24.8%,15907,1.15,67.5,2.7,1047,27129,0.68,0.11,0.59,0.09,0.09,1.06
koosta,Kenneth Suen,N/A,26 years,18522,37.3%,17181,1.08,76.1,3.6,977,25766,0.72,0.12,0.67,0.09,0.1,1.06
pancc,Fillipe Martins,N/A,25 years,11462,53.7%,10644,1.08,79.9,5.3,602,15875,0.72,0.14,0.67,0.09,0.1,1.11
remix,Victor Monteiro,ODDIK,29 years,9167,27.5%,8378,1.09,71.7,2.1,483,12908,0.71,0.09,0.65,0.09,0.09,1.08
TOR,Tosapol Saekow,N/A,29 years,8271,28.9%,7614,1.09,77.0,2.9,452,11472,0.72,0.12,0.66,0.08,0.09,1.06
tucks,Tyler Reilly,Majestic Foghorns,26 years,13116,44.0%,11886,1.1,76.0,4.1,727,18442,0.71,0.13,0.64,0.09,0.09,1.06
Grim,Michael Wince,Complexity,22 years,19030,48.8%,18038,1.05,78.7,3.6,1001,26317,0.72,0.13,0.69,0.12,0.13,1.11
suNny,Miikka Kemppi,Believe,28 years,26260,47.4%,24637,1.07,80.6,5.0,1353,35708,0.74,0.14,0.69,0.09,0.09,1.05
Krimbo,Karim Moussa,BIG,20 years,8687,51.0%,7846,1.11,76.1,7.1,465,12461,0.7,0.12,0.63,0.08,0.1,1.09
flying,Peiqi Song,Wings Up,22 years,8377,50.7%,7843,1.07,78.8,3.7,429,11438,0.73,0.12,0.69,0.09,0.1,1.09
SLOWLY,Kelun Sun,TYLOO,21 years,10944,59.0%,10272,1.07,79.0,2.9,569,15083,0.73,0.13,0.68,0.1,0.1,1.11
olofmeister,Olof Kajbjer,FaZe,31 years,29175,46.7%,26512,1.1,72.8,4.4,1568,40998,0.71,0.13,0.65,0.09,0.08,1.05
Sobol,Kamil Sobolewski,HONORIS,25 years,18517,52.0%,17052,1.09,78.3,4.2,954,25876,0.72,0.13,0.66,0.08,0.09,1.09
rallen,Karol Rodowicz,Into the Breach,28 years,35275,43.3%,32076,1.1,82.1,7.5,1827,48883,0.72,0.16,0.66,0.09,0.09,1.05
hardzao,Wesley Lopes,paiN,22 years,14300,46.6%,12753,1.12,74.6,4.6,784,20631,0.69,0.13,0.62,0.1,0.1,1.1
KEi,Kamil Pietkun,9INE,21 years,15844,45.2%,14999,1.06,82.9,4.5,795,21409,0.74,0.14,0.7,0.09,0.09,1.12
flameZ,Shahar Shushan,OG,19 years,9138,52.8%,8548,1.07,79.3,6.0,477,12794,0.71,0.14,0.67,0.11,0.11,1.12
bottle,Lei Mao,N/A,29 years,14489,56.8%,13618,1.06,79.5,3.6,768,19801,0.73,0.14,0.69,0.1,0.1,1.05
Gratisfaction,Sean Kaiwai,Encore,26 years,16662,32.4%,14987,1.11,73.3,3.4,923,24032,0.69,0.12,0.62,0.1,0.1,1.05
ISSAA,Issa Murad,N/A,26 years,16229,55.5%,14827,1.09,75.7,3.6,870,22834,0.71,0.12,0.65,0.1,0.11,1.05
iM,Mihai Ivan,GamerLegion,23 years,16884,48.0%,15935,1.06,82.1,3.7,851,22853,0.74,0.13,0.7,0.09,0.09,1.11
b1t,Valeriy Vakhovskiy,Natus Vincere,20 years,9957,67.2%,9021,1.1,75.5,4.3,538,14303,0.7,0.11,0.63,0.09,0.1,1.11
Ramz1kBO$$,Ramazan Bashizov,Golden Knights,23 years,8110,33.8%,7557,1.07,75.9,1.5,425,11070,0.73,0.1,0.68,0.07,0.08,1.09
HZ,Zhen Huang,TSG,32 years,9305,49.4%,8614,1.08,81.7,3.8,500,12856,0.72,0.17,0.67,0.13,0.12,1.05
stavn,Martin Lund,Heroic,20 years,23554,43.0%,21879,1.08,81.0,4.3,1217,32382,0.73,0.14,0.68,0.1,0.1,1.12
cajunb,René Borg,N/A,33 years,32080,41.0%,29212,1.1,73.5,3.1,1751,45848,0.7,0.12,0.64,0.09,0.1,1.05
JW,Jesper Wecksell,EYEBALLERS,27 years,40649,36.2%,38006,1.07,76.1,4.1,2117,55745,0.73,0.14,0.68,0.08,0.08,1.05
WolfY,Adam Andersson,N/A,24 years,11531,33.8%,10275,1.12,71.3,3.1,622,16556,0.7,0.1,0.62,0.09,0.1,1.09
mou,Rustem Telepov,Forward,31 years,28890,27.9%,26323,1.1,73.8,4.0,1535,40730,0.71,0.11,0.65,0.08,0.09,1.05
tabseN,Johannes Wodarz,BIG,27 years,39469,49.1%,37918,1.04,84.5,8.2,2045,54077,0.73,0.16,0.7,0.09,0.09,1.05
Lucky,Philip Ewald,Tricked,20 years,12783,39.4%,11493,1.11,71.4,3.0,684,18487,0.69,0.09,0.62,0.09,0.1,1.08
yay,Jaccob Whiteaker,N/A,24 years,12452,46.7%,11848,1.05,77.6,3.4,653,17182,0.72,0.13,0.69,0.1,0.11,1.05
zeph,Charlie Dodd,N/A,20 years,11209,47.6%,10609,1.06,79.7,3.9,600,15248,0.74,0.13,0.7,0.1,0.1,1.11
REDSTAR,Hristiyan Pironkov,VOYVODA,21 years,13763,49.0%,12460,1.1,74.7,4.4,735,19581,0.7,0.12,0.64,0.1,0.1,1.1
KRIMZ,Freddy Johansson,fnatic,28 years,34313,40.8%,31173,1.1,76.3,4.2,1862,48979,0.7,0.15,0.64,0.09,0.1,1.05
nin9,Yesuntumur Gantulga,NKT,24 years,8361,36.7%,7578,1.1,75.1,5.0,453,11946,0.7,0.12,0.63,0.08,0.09,1.1
SicK,Hunter Mims,N/A,24 years,15002,49.8%,13962,1.07,77.7,2.6,795,20701,0.72,0.13,0.67,0.1,0.12,1.05
c0llins,Luka Živanović,Partizan,24 years,8087,54.3%,7624,1.06,79.8,4.8,410,11085,0.73,0.13,0.69,0.09,0.11,1.1
NEEX,Sebastian Trela,N/A,26 years,8076,31.3%,7502,1.08,71.5,1.6,429,11195,0.72,0.09,0.67,0.08,0.1,1.05
juanflatroo,Flatron Halimi,Bad News Eagles,25 years,13627,56.7%,13109,1.04,82.7,5.4,677,18121,0.75,0.13,0.72,0.09,0.1,1.1
loWel,Christian Garcia Antoran,N/A,26 years,18549,47.5%,16810,1.1,75.8,4.5,1008,26413,0.7,0.13,0.64,0.09,0.11,1.05
MarKE,Edgar Maldonado,Nouns,24 years,17199,53.2%,15779,1.09,79.2,5.2,948,24403,0.7,0.15,0.65,0.11,0.12,1.12
Bwills,Brendan Williams,Nouns,21 years,17564,50.6%,16291,1.08,78.2,6.4,951,24800,0.71,0.15,0.66,0.11,0.14,1.1
raafa,Rafael Lima,N/A,28 years,11650,27.4%,10558,1.1,72.4,3.7,640,16832,0.69,0.11,0.63,0.07,0.08,1.07
Marcelious,Ole Kristian Langan,N/A,23 years,9864,31.4%,9197,1.07,74.0,3.2,515,13889,0.71,0.1,0.66,0.1,0.11,1.07
sdy,Viktor Orudzhev,Monte,25 years,22065,50.2%,20013,1.1,76.5,4.1,1210,31845,0.69,0.13,0.63,0.1,0.11,1.1
Zellsis,Jordan Montemurro,N/A,24 years,11657,46.4%,10854,1.07,79.2,4.8,626,16210,0.72,0.15,0.67,0.1,0.11,1.11
Jeorge,Jeorge  Endicott,EG Black,19 years,7674,47.3%,7181,1.07,78.8,5.9,414,10872,0.71,0.15,0.66,0.1,0.11,1.1
nexa,Nemanja Isaković,OG,25 years,24649,51.0%,22561,1.09,75.9,4.5,1340,35515,0.69,0.13,0.64,0.1,0.11,1.05
rommi,Roman Golubev,Linx Legacy,29 years,9899,50.8%,9295,1.06,81.1,3.7,516,13467,0.74,0.14,0.69,0.08,0.1,1.05
rigoN,Rigon Gashi,Bad News Eagles,23 years,9713,54.2%,9528,1.02,81.2,3.4,484,12964,0.75,0.13,0.73,0.1,0.1,1.09
Flarich,Vadim Karetin,EC Kyiv,26 years,19803,55.3%,17982,1.1,73.9,3.7,1083,28855,0.69,0.11,0.62,0.08,0.1,1.07
cadiaN,Casper Møller,Heroic,27 years,28897,27.7%,26132,1.11,73.2,4.9,1578,41691,0.69,0.11,0.63,0.09,0.08,1.04
TeSeS,René Madsen,Heroic,22 years,17790,54.7%,16679,1.07,78.1,4.8,935,24938,0.71,0.14,0.67,0.11,0.12,1.1
latto,Bruno Rebelatto,00NATION,20 years,8067,46.3%,7404,1.09,77.0,6.1,440,11684,0.69,0.14,0.63,0.09,0.11,1.1
phzy,Love Smidebrant,Sangal,20 years,11087,28.3%,10019,1.11,72.1,2.9,598,16192,0.68,0.1,0.62,0.08,0.09,1.08
jkaem,Joakim Myrbostad,Apeks,28 years,27536,51.5%,26254,1.05,80.3,3.8,1422,37658,0.73,0.14,0.7,0.11,0.1,1.04
fleav,Fodor Levente,Juggernauts,22 years,11342,39.6%,10773,1.05,80.0,2.8,590,15468,0.73,0.13,0.7,0.09,0.1,1.09
malta,Liam Schembri,VERTEX,27 years,18577,39.4%,17093,1.09,77.4,3.9,1052,26781,0.69,0.15,0.64,0.09,0.08,1.1
Kjaerbye,Markus Kjærbye,N/A,24 years,28943,52.8%,26849,1.08,78.4,3.9,1549,40780,0.71,0.14,0.66,0.09,0.1,1.04
FASHR,Dion Derksen,fnatic,27 years,15366,48.9%,14607,1.05,78.8,5.4,811,21491,0.71,0.15,0.68,0.11,0.13,1.1
aumaN,ZhiHong Liu,Take me away,28 years,16141,41.7%,14919,1.08,80.8,5.8,888,22785,0.71,0.16,0.65,0.08,0.08,1.04
zewsy,Ryan Palmer,N/A,25 years,11142,41.0%,10475,1.06,79.0,3.4,618,15666,0.71,0.16,0.67,0.11,0.1,1.04
STOMP,Daniel Płomiński,N/A,28 years,15139,26.1%,13810,1.1,73.3,3.9,809,21729,0.7,0.11,0.64,0.08,0.09,1.09
skullz,Felipe Medeiros,paiN,20 years,8301,54.0%,7668,1.08,75.4,3.9,444,11939,0.7,0.13,0.64,0.1,0.12,1.09
motm,Ian Hardy,N/A,23 years,19904,50.3%,18804,1.06,76.2,3.4,1055,27749,0.72,0.12,0.68,0.11,0.12,1.09
Hiko,Spencer Martin,N/A,32 years,16611,53.9%,15079,1.1,71.6,5.0,937,24398,0.68,0.14,0.62,0.1,0.11,1.04
Geniuss,Kritthee Sawatmuang,N/A,24 years,7345,56.4%,7036,1.04,78.5,3.3,398,10155,0.72,0.13,0.69,0.11,0.11,1.11
DavCost,Vadim Vasilyev,Invictus International,26 years,24540,32.3%,22611,1.09,73.5,3.2,1335,35173,0.7,0.12,0.64,0.08,0.09,1.04
HSK,Hae-Sung Kim,N/A,28 years,9678,31.1%,8833,1.1,75.2,4.5,540,13851,0.7,0.14,0.64,0.12,0.12,1.04
Aerial,Jani Jussila,HAVU,29 years,20207,41.3%,18982,1.06,77.7,2.8,1066,28493,0.71,0.15,0.67,0.11,0.11,1.1
Swisher,Michael Schmid,ATK,24 years,14723,48.1%,13958,1.05,79.9,5.5,788,20503,0.72,0.15,0.68,0.1,0.11,1.1
Bubzkji,Lucas Andersen,N/A,24 years,15534,50.8%,14571,1.07,80.4,5.4,817,21619,0.72,0.14,0.67,0.09,0.1,1.04
Snax,Janusz Pogorzelski,Let us cook,29 years,40913,36.8%,38079,1.07,74.7,4.4,2204,58221,0.7,0.13,0.65,0.08,0.08,1.04
ANDROID,Bradley Fodor,N/A,28 years,15394,50.7%,14358,1.07,75.7,3.0,835,21741,0.71,0.13,0.66,0.1,0.12,1.04
Qikert,Alexey Golubev,Outsiders,24 years,24525,56.2%,22698,1.08,76.9,4.9,1338,35353,0.69,0.13,0.64,0.1,0.09,1.1
LOVEYY,KunHua Bai,N/A,34 years,12939,52.0%,12240,1.06,78.0,3.5,708,17977,0.72,0.15,0.68,0.11,0.11,1.04
land1n,Paulo Felipe,TropiCaos,29 years,14506,31.0%,13192,1.1,69.9,2.3,822,21494,0.67,0.1,0.61,0.08,0.09,1.04
eraa,Sean Knutsson,Young Ninjas,21 years,13184,33.4%,12288,1.07,72.8,3.4,692,18724,0.7,0.1,0.66,0.08,0.09,1.06
n0rb3r7,David Danielyan,Outsiders,21 years,21527,50.8%,20710,1.04,79.2,4.2,1132,30205,0.71,0.13,0.69,0.08,0.07,1.09
b0denmaster,Jonathan Bodenmalm,ATK,24 years,12718,32.6%,11795,1.08,73.3,4.5,695,18424,0.69,0.11,0.64,0.09,0.08,1.08
KHTEX,Dener Barchfield,N/A,26 years,11300,45.4%,10433,1.08,75.1,4.3,628,16208,0.7,0.13,0.64,0.09,0.1,1.08
buster,Timur Tulepov,Cloud9,23 years,22612,47.9%,20668,1.09,73.4,3.5,1260,33293,0.68,0.12,0.62,0.08,0.09,1.08
Davidp,David Prins,N/A,28 years,14255,39.7%,13246,1.08,77.9,7.6,774,20539,0.69,0.14,0.64,0.07,0.08,1.03
tb,BingYuan Li,WDNMD,32 years,11088,49.9%,10380,1.07,76.7,3.5,619,15737,0.7,0.15,0.66,0.11,0.11,1.03
TRAVIS,Aleksandr Timkiv,1WIN,25 years,11248,54.0%,10704,1.05,78.7,4.4,598,16039,0.7,0.13,0.67,0.09,0.08,1.1
dEE,Miloš Marčeta,N/A,27 years,9215,32.8%,8590,1.07,72.2,2.8,496,13121,0.7,0.1,0.65,0.09,0.1,1.07
tarik,Tarik Celik,N/A,27 years,26620,37.8%,25304,1.05,76.8,2.9,1438,37326,0.71,0.14,0.68,0.11,0.1,1.03
REZ,Fredrik Sterner,Ninjas in Pyjamas,25 years,26216,49.4%,24824,1.06,78.0,3.8,1420,37357,0.7,0.14,0.66,0.1,0.1,1.03
flusha,Robin Rönnquist,EYEBALLERS,29 years,37739,42.0%,35288,1.07,80.4,9.4,2055,54045,0.7,0.17,0.65,0.09,0.08,1.03
NK4Y,Nikola Radushev,N/A,27 years,8697,62.1%,8268,1.05,76.3,3.6,480,12325,0.71,0.14,0.67,0.1,0.11,1.07
chawzyyy,Hugo Günther,N/A,17 years,7594,40.0%,7091,1.07,74.9,4.2,414,11057,0.69,0.13,0.64,0.09,0.09,1.08
Kntz,Krit Chaiprasit,N/A,25 years,10068,47.4%,9398,1.07,75.3,2.8,552,14299,0.7,0.12,0.66,0.1,0.11,1.07
twist,Simon Eliasson,ex-Finest,28 years,34352,41.5%,32636,1.05,76.8,5.1,1830,48686,0.71,0.14,0.67,0.09,0.09,1.03
Subroza,Yassine Taoufik,N/A,25 years,11748,48.4%,11373,1.03,80.7,5.2,623,16275,0.72,0.15,0.7,0.09,0.09,1.1
USTILO,Karlo Pivac,N/A,29 years,20989,46.0%,20058,1.05,77.5,3.2,1153,29801,0.7,0.14,0.67,0.1,0.1,1.03
DeStiNy,Lucas Bullo,Paquetá,25 years,22063,50.9%,21253,1.04,79.0,3.3,1173,30515,0.72,0.14,0.7,0.11,0.1,1.03
yam,Yaman Ergenekon,N/A,34 years,9755,34.6%,9105,1.07,74.5,4.9,547,14003,0.7,0.13,0.65,0.09,0.09,1.03
Swahn,Christopher Swahn,Disconnected,25 years,8895,26.3%,8292,1.07,71.9,3.6,487,12836,0.69,0.1,0.65,0.1,0.1,1.07
znajder,Andreas Lindberg,N/A,29 years,19778,47.9%,18708,1.06,76.8,4.3,1050,27577,0.72,0.15,0.68,0.1,0.1,1.03
kabal,Bat-Enkh Batbayar,IHC,27 years,16368,45.9%,15407,1.06,76.9,4.8,891,23460,0.7,0.13,0.66,0.08,0.09,1.08
Relaxa,Joakim Gustafsson,N/A,29 years,21480,30.2%,19549,1.1,72.4,4.3,1204,32063,0.67,0.12,0.61,0.09,0.09,1.03
DEV7L,Patrik Stuchlík,N/A,26 years,9988,34.2%,9406,1.06,72.4,2.7,549,14256,0.7,0.1,0.66,0.09,0.1,1.03
refrezh,Ismail Ali,Sprout,25 years,20389,48.8%,19247,1.06,74.4,3.5,1101,29432,0.69,0.12,0.65,0.1,0.1,1.07
RCF,Rodrigo Figueiredo,Case,22 years,12731,42.5%,12113,1.05,74.9,2.9,682,17905,0.71,0.11,0.68,0.1,0.1,1.09
Lucky,Lucas Chastang,HEET,24 years,23201,41.5%,21714,1.07,76.8,6.5,1266,33837,0.69,0.14,0.64,0.1,0.1,1.09
captainMo,Ke Liu,Steel Helmet,33 years,14956,40.2%,14339,1.04,74.2,2.5,814,20980,0.71,0.12,0.68,0.1,0.1,1.03
Thomas,Thomas Utting,Into the Breach,25 years,19122,41.3%,18150,1.05,81.1,5.6,1011,26883,0.71,0.17,0.68,0.11,0.11,1.11
alex,Alejandro Masanet,Movistar Riders,27 years,25291,45.8%,23800,1.06,76.6,4.6,1374,36411,0.69,0.14,0.65,0.09,0.1,1.03
dobu,Gan-Erdene Batbold,Eruption,23 years,15976,54.5%,15342,1.04,79.8,3.7,855,22460,0.71,0.15,0.68,0.1,0.1,1.03
AiyvaN,Ivan Semenets,LeeK,26 years,12747,37.8%,12169,1.05,74.2,3.2,701,18214,0.7,0.11,0.67,0.1,0.1,1.03
J3nsyy,Theis Jensen,MASONIC,22 years,8648,32.4%,8004,1.08,69.7,4.4,476,12815,0.67,0.09,0.62,0.09,0.09,1.06
KENSI,Aleksandr Gurkin,Aurora,21 years,11696,53.7%,10869,1.08,74.3,4.8,633,17122,0.68,0.12,0.63,0.09,0.09,1.07
sjuush,Rasmus Beck,Heroic,24 years,16762,51.8%,15742,1.06,75.5,4.0,928,24525,0.68,0.13,0.64,0.1,0.11,1.09
Patsi,Robert Isyanov,Spirit,19 years,11366,44.3%,11025,1.03,79.7,3.9,592,15920,0.71,0.13,0.69,0.1,0.1,1.09
Maden,Pavle Bošković,ENCE,24 years,14935,50.8%,14557,1.03,79.3,5.4,777,20742,0.72,0.13,0.7,0.09,0.09,1.08
kressy,Marko Đorđević,N/A,26 years,20407,47.9%,19240,1.06,75.6,3.8,1106,29606,0.69,0.13,0.65,0.1,0.1,1.07
JUST,Tiago Moura,SAW,26 years,18462,55.0%,17559,1.05,75.1,5.6,1015,26838,0.69,0.13,0.65,0.09,0.11,1.03
stfN,Stefan Seier,N/A,30 years,25135,46.5%,23693,1.06,75.6,4.0,1365,36267,0.69,0.14,0.65,0.1,0.12,1.03
JonY BoY,Jonathan Muñoz,VELOX,31 years,7637,34.6%,7293,1.05,74.9,3.7,426,10943,0.7,0.11,0.67,0.09,0.09,1.03
aizy,Philip Aistrup,NtK,26 years,28987,50.4%,27794,1.04,75.6,4.3,1574,41456,0.7,0.13,0.67,0.1,0.1,1.03
max,Maximiliano Gonzalez,9z,23 years,11742,45.7%,11095,1.06,79.2,4.5,633,16790,0.7,0.15,0.66,0.1,0.1,1.11
shuadapai,Wei Wang,R-Stars,32 years,9880,52.4%,9388,1.05,76.0,3.5,549,14214,0.7,0.14,0.66,0.11,0.11,1.08
rain,Håvard Nygaard,FaZe,28 years,31777,56.0%,30898,1.03,79.9,3.7,1691,44804,0.71,0.15,0.69,0.1,0.09,1.03
RIKO,Dylan Sabin-Arnce,N/A,26 years,7573,52.7%,7418,1.02,77.6,3.4,406,10568,0.72,0.13,0.7,0.1,0.11,1.06
Maluk3,Pedro Campos,TeamOne,32 years,21144,28.9%,19754,1.07,72.5,5.4,1184,30686,0.69,0.11,0.64,0.09,0.08,1.08
food,Victor Wong,N/A,26 years,8248,50.2%,7868,1.05,77.2,3.9,456,11711,0.7,0.14,0.67,0.11,0.11,1.03
dennis,Dennis Edman,N/A,32 years,29932,54.4%,28801,1.04,76.5,4.0,1580,41962,0.71,0.12,0.69,0.09,0.1,1.03
Forester,Igor Bezotecheskiy,1WIN,23 years,23686,53.7%,22552,1.05,76.5,3.4,1280,34135,0.69,0.13,0.66,0.09,0.09,1.08
DiMKE,Dimitrije Veljković,ex-4glory,29 years,12294,46.8%,11815,1.04,78.9,4.4,663,17460,0.7,0.15,0.68,0.11,0.12,1.02
hoody,Aaro Peltokangas,N/A,24 years,10871,49.6%,10469,1.04,77.2,3.7,575,15453,0.7,0.13,0.68,0.09,0.1,1.07
juho,Juho Lampinen,N/A,27 years,14787,46.0%,14640,1.01,78.5,2.4,774,20351,0.73,0.14,0.72,0.1,0.09,1.02
Blytz,Raul Gligor,Let us cook,22 years,8316,51.0%,8079,1.03,79.0,4.4,437,11709,0.71,0.14,0.69,0.1,0.11,1.08
CyberFocus,Roman Dergach,N/A,28 years,9080,29.7%,8760,1.04,74.2,2.0,491,12779,0.71,0.11,0.69,0.08,0.08,1.02
kai,Kaique Guidotti,N/A,27 years,8814,35.3%,8399,1.05,75.9,4.4,483,12692,0.69,0.14,0.66,0.09,0.11,1.07
imoRR,Ömer Karataş,Eternal Fire,23 years,14998,50.5%,14816,1.01,78.9,4.4,780,20939,0.72,0.13,0.71,0.11,0.09,1.1
pashaBiceps,Jarosław Jarząbkowski,N/A,34 years,29557,37.3%,28568,1.03,72.4,4.2,1597,41346,0.71,0.13,0.69,0.08,0.08,1.02
AMANEK,François Delaunay,LDLC,29 years,20404,45.7%,19122,1.07,74.9,4.7,1121,30127,0.68,0.13,0.63,0.09,0.09,1.02
smiley,Algat Abdul,Unique,25 years,8764,28.8%,8133,1.08,72.5,3.3,478,12883,0.68,0.1,0.63,0.08,0.09,1.07
kolor,Ádám Domoszlay,Rapid Ninjas,23 years,10692,27.7%,10344,1.03,73.1,2.1,579,15144,0.71,0.11,0.68,0.1,0.12,1.05
dragonfly,Jacob Lund,ex-Maknitude,26 years,9094,25.1%,8592,1.06,70.8,3.1,507,13234,0.69,0.09,0.65,0.09,0.08,1.06
niko,Nikolaj Kristensen,OG,24 years,22342,49.5%,21267,1.05,75.1,4.3,1224,32371,0.69,0.13,0.66,0.1,0.11,1.02
jdm64,Josh Marzano,N/A,32 years,14626,23.6%,13801,1.06,70.1,2.9,823,21321,0.69,0.1,0.65,0.1,0.09,1.02
fnx,Lincoln Lau,N/A,33 years,12323,49.7%,11661,1.06,78.4,5.9,690,17759,0.69,0.16,0.66,0.08,0.08,1.02
MonttY,Martin Melišek,N/A,23 years,9507,46.6%,9169,1.04,77.3,1.9,522,13451,0.71,0.14,0.68,0.11,0.11,1.02
FANAT ROCKA,Vasiliy Trusov,N/A,31 years,8262,27.1%,7809,1.06,71.8,2.8,465,12150,0.68,0.11,0.64,0.08,0.09,1.02
disco doplan,Joakim Gidetun,N/A,27 years,22193,43.9%,21099,1.05,76.1,3.6,1207,32000,0.69,0.13,0.66,0.09,0.1,1.02
HS,Kevin Tarn,N/A,26 years,20451,49.2%,20042,1.02,78.4,5.0,1077,28801,0.71,0.15,0.7,0.1,0.11,1.02
Nico,Nicolaj Jensen,N/A,31 years,6738,26.0%,6191,1.09,80.6,4.9,399,10074,0.67,0.12,0.61,0.08,0.14,1.02
bondik,Vladyslav Nechyporchuk,N/A,29 years,26616,47.7%,25160,1.06,74.5,5.3,1470,38637,0.69,0.13,0.65,0.09,0.1,1.02
