Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
woxic,Özgür Eker,N/A,24 years,24364,32.1%,20225,1.2,76.4,2.5,1257,33092,0.74,0.11,0.61,0.08,0.1,1.12
kNgV-,Vito Giuseppe,O PLANO,30 years,17894,32.4%,15276,1.17,78.3,2.1,894,23430,0.76,0.1,0.65,0.08,0.09,1.12
dgt,Franco Garcia,9z,21 years,9754,49.6%,8002,1.22,78.0,3.7,498,13203,0.74,0.12,0.61,0.09,0.12,1.15
Jamppi,Elias Olkkonen,N/A,21 years,10302,31.8%,8894,1.16,78.2,2.8,503,13449,0.77,0.1,0.66,0.08,0.09,1.15
ropz,Robin Kool,FaZe,23 years,23861,51.7%,19834,1.2,78.4,2.5,1220,32318,0.74,0.11,0.61,0.07,0.09,1.14
wrath,Collin McSweegan,N/A,21 years,10634,50.1%,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14,1.12
SunPayus,Alvaro Garcia,ENCE,24 years,7931,29.7%,6464,1.23,74.3,3.6,409,10958,0.72,0.1,0.59,0.08,0.1,1.16
h4rn,Deyvid Benchev,VOYVODA,22 years,13385,28.5%,10988,1.22,74.8,3.4,684,18337,0.73,0.1,0.6,0.08,0.09,1.15
chelleos,Michael Hawkins,Rooster,22 years,12005,31.9%,10528,1.14,83.5,4.1,601,15529,0.77,0.13,0.68,0.1,0.09,1.19
PTC,Kitikawin Rattanasukol,N/A,24 years,9304,36.1%,7896,1.18,76.9,2.0,476,12393,0.75,0.1,0.64,0.08,0.09,1.14
nawwk,Tim Jonasson,Apeks,25 years,19704,35.1%,16252,1.21,73.3,2.8,999,26751,0.74,0.09,0.61,0.09,0.11,1.13
erkaSt,Erdenetsogt Gantulga,NKT,27 years,18366,50.0%,15902,1.15,82.7,5.1,924,24030,0.76,0.15,0.66,0.09,0.09,1.16
splashske,Nevin Aw,N/A,23 years,14145,38.4%,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09,1.11
zorte,Aleksandr Zagodyrenko,forZe,24 years,17402,36.1%,14369,1.21,73.7,2.7,894,23988,0.73,0.09,0.6,0.09,0.11,1.15
Twistzz,Russel Van Dulken,FaZe,23 years,28178,62.0%,23972,1.18,76.9,3.5,1466,38566,0.73,0.12,0.62,0.1,0.12,1.11
vsm,Vinicius Moreira,Fluxo,23 years,13115,47.8%,11416,1.15,82.3,3.3,657,17388,0.75,0.13,0.66,0.09,0.09,1.16
GuardiaN,Ladislav Kovács,N/A,31 years,30757,29.6%,25994,1.18,71.8,2.8,1590,41693,0.74,0.11,0.62,0.08,0.09,1.11
ottoNd,Otto Sihvo,HAVU,25 years,17557,27.0%,14796,1.19,76.1,3.3,898,23724,0.74,0.1,0.62,0.09,0.11,1.15
dream3r,Simeon Ganev,VOYVODA,26 years,26128,49.5%,21814,1.2,76.5,3.1,1354,35532,0.74,0.12,0.61,0.08,0.11,1.11
xsepower,Bogdan Chernikov,Nemiga,24 years,25734,24.9%,20941,1.23,72.3,2.2,1337,35899,0.72,0.08,0.58,0.07,0.08,1.15
CacaNito,Aleksandar Kjulukoski,BLUEJAYS,22 years,8133,46.2%,7283,1.12,86.1,5.0,394,10579,0.77,0.15,0.69,0.09,0.11,1.16
FREDDyFROG,Fredrik Gustafsson,N/A,29 years,23752,40.3%,20146,1.18,80.4,3.9,1208,32176,0.74,0.14,0.63,0.09,0.11,1.11
TenZ,Tyson Ngo,N/A,21 years,7931,51.3%,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.1,0.12,1.15
Vexite,Declan Portelli,Grayhound,18 years,8004,57.1%,7150,1.12,83.2,5.0,411,10477,0.76,0.14,0.68,0.1,0.11,1.16
f0rest,Patrik Lindberg,N/A,34 years,41243,51.9%,35568,1.16,76.3,3.7,2102,54673,0.75,0.12,0.65,0.09,0.1,1.1
Olivia,Peeratch Ingkudanonda,LZ,25 years,12279,37.0%,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09,1.13
dumau,Eduardo Wolkmer,00NATION,19 years,10545,41.6%,8945,1.18,80.7,4.7,536,14244,0.74,0.14,0.63,0.08,0.11,1.16
poizon,Valentin Vasilev,N/A,24 years,21623,33.6%,18761,1.15,78.0,3.8,1108,29354,0.74,0.12,0.64,0.09,0.1,1.14
mir,Nikolay Bityukov,N/A,27 years,21326,52.0%,18534,1.15,81.5,4.9,1066,28082,0.76,0.13,0.66,0.1,0.11,1.1
mertz,Daniel Mertz,XI,24 years,19106,32.4%,16519,1.16,77.4,2.4,957,25381,0.75,0.1,0.65,0.1,0.1,1.1
HEN1,Henrique Teles,MIBR,27 years,22966,29.2%,18755,1.22,74.9,4.1,1255,32610,0.7,0.12,0.58,0.08,0.09,1.1
WARDELL,Matthew Yu,N/A,24 years,11627,27.2%,9979,1.17,74.2,2.1,609,15901,0.73,0.1,0.63,0.09,0.1,1.13
CeRq,Tsvetelin Dimitrov,N/A,23 years,23391,27.9%,19954,1.17,73.9,2.4,1234,32056,0.73,0.1,0.62,0.1,0.11,1.14
oSee,Josh Ohm,Liquid,23 years,22947,31.4%,19450,1.18,75.6,2.8,1197,31238,0.73,0.11,0.62,0.11,0.12,1.14
swag,Braxton Pierce,N/A,26 years,10527,49.5%,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,1.1
Brehze,Vincent Cayonte,Evil Geniuses,24 years,24232,52.7%,21467,1.13,80.2,2.5,1228,32018,0.76,0.12,0.67,0.1,0.12,1.1
hades,Olek Miskiewicz,9INE,23 years,14722,29.8%,12424,1.18,74.0,2.3,742,20079,0.73,0.09,0.62,0.07,0.08,1.12
ekul,Luke Blakey,N/A,27 years,8895,36.6%,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09,1.14
Ax1Le,Sergey Rykhtorov,Cloud9,20 years,19463,48.6%,16755,1.16,80.5,5.2,1006,26716,0.73,0.14,0.63,0.09,0.09,1.16
moose,Kaleb Jayne,N/A,24 years,14503,44.1%,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,1.14
allu,Aleksi Jalli,JANO,30 years,33422,28.7%,28810,1.16,75.2,3.7,1717,45044,0.74,0.11,0.64,0.07,0.09,1.1
nython,Gabriel Lino,Paquetá,25 years,11024,37.4%,9528,1.16,76.4,2.3,553,14736,0.75,0.1,0.65,0.09,0.1,1.14
Infinite,Gage Green,Strife,24 years,17371,51.1%,15372,1.13,81.0,5.0,899,23439,0.74,0.14,0.66,0.1,0.11,1.15
PwnAlone,Josh Pigue,EG White,32 years,18415,31.6%,15949,1.15,76.2,3.5,972,25271,0.73,0.12,0.63,0.1,0.1,1.14
xccurate,Kevin Susanto,N/A,25 years,13334,31.2%,11610,1.15,74.2,1.9,698,18113,0.74,0.1,0.64,0.1,0.1,1.09
mixwell,Oscar Cañellas,N/A,27 years,16275,38.1%,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.1,0.1,1.09
Sonic,Aran Groesbeek,N/A,24 years,18216,46.4%,15854,1.15,78.7,4.3,963,24799,0.73,0.13,0.64,0.11,0.11,1.09
aliStair,Alistair Johnston,Grayhound,24 years,20680,34.7%,17756,1.16,75.4,3.3,1125,28555,0.72,0.12,0.62,0.09,0.08,1.14
syrsoN,Florian Rische,BIG,26 years,34921,29.4%,30094,1.16,74.2,2.5,1800,47847,0.73,0.09,0.63,0.08,0.09,1.09
JUGi,Jakob Hansen,N/A,25 years,17527,27.8%,14851,1.18,74.1,2.4,940,24427,0.72,0.1,0.61,0.08,0.1,1.09
GeT_RiGhT,Christopher Alesund,N/A,32 years,33295,49.3%,29011,1.15,76.5,4.4,1747,45082,0.74,0.15,0.64,0.09,0.08,1.09
Cooper,Austin Abadir,Mythic,28 years,16118,32.7%,13982,1.15,74.3,2.3,840,21866,0.74,0.09,0.64,0.09,0.1,1.12
Calyx,Buğra Arkın,Eternal Fire,24 years,22346,57.0%,19370,1.15,77.1,3.7,1172,30771,0.73,0.12,0.63,0.09,0.1,1.09
ryx,Ronnie Bylicki,N/A,29 years,9797,36.3%,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12,1.09
zehN,Jesse Linjala,N/A,31 years,22941,45.5%,20322,1.13,80.4,8.0,1183,31410,0.73,0.15,0.65,0.08,0.09,1.09
electroNic,Denis Sharipov,Natus Vincere,24 years,27330,50.0%,24261,1.13,82.6,4.6,1396,36878,0.74,0.14,0.66,0.09,0.1,1.09
JOTA,Jhonatan Willian,Imperial,25 years,10532,41.8%,9140,1.15,81.9,6.3,556,14491,0.73,0.16,0.63,0.09,0.1,1.16
ScreaM,Adil Benrlitom,N/A,28 years,27501,68.1%,24396,1.13,79.1,3.3,1430,37087,0.74,0.12,0.66,0.1,0.11,1.09
ritchiEE,Richard Mestdagh,undefined,24 years,8938,50.6%,7951,1.12,82.4,5.0,449,11922,0.75,0.14,0.67,0.1,0.13,1.14
biguzera,Rodrigo Bittencourt,paiN,26 years,13555,50.7%,11819,1.15,80.5,5.5,704,18720,0.72,0.15,0.63,0.1,0.11,1.16
NAF,Keith Markovic,Liquid,25 years,31844,41.7%,27574,1.15,81.1,5.8,1669,43922,0.73,0.15,0.63,0.09,0.11,1.09
BL1TZ,Peter Athanasatos,VERTEX,30 years,14086,43.0%,12485,1.13,75.0,2.4,740,19035,0.74,0.1,0.66,0.08,0.09,1.1
nex,Johannes Maget,N/A,30 years,21063,51.5%,18628,1.13,78.8,4.7,1074,28389,0.74,0.15,0.66,0.1,0.12,1.09
nukkye,Žygimantas Chmieliauskas,N/A,25 years,11227,39.2%,9897,1.13,78.3,2.6,592,15492,0.72,0.12,0.64,0.08,0.09,1.12
draken,William Sundin,GODSENT,27 years,24519,30.7%,21194,1.16,74.6,2.2,1275,33953,0.72,0.1,0.62,0.08,0.08,1.08
NEOFRAG,Adam Zouhar,OG,21 years,15278,49.2%,13904,1.1,84.7,8.3,768,20573,0.74,0.15,0.68,0.1,0.12,1.15
fer,Fernando Alvarenga,N/A,31 years,28823,44.9%,26000,1.11,82.8,5.0,1468,38442,0.75,0.15,0.68,0.09,0.08,1.08
hazr,Jared O'Bree,VERTEX,21 years,15826,55.9%,14484,1.09,80.9,4.4,832,21272,0.74,0.14,0.68,0.11,0.11,1.13
EliGE,Jonathan Jablonowski,Liquid,25 years,33767,48.7%,30664,1.1,83.3,4.1,1708,44874,0.75,0.15,0.68,0.1,0.12,1.08
pz,Jordan White,VERTEX,23 years,9314,29.3%,8161,1.14,76.0,5.6,501,13000,0.72,0.12,0.63,0.09,0.09,1.13
gas,Yi Ding,Wings Up,27 years,10462,59.8%,9689,1.08,81.5,2.4,518,13599,0.77,0.12,0.71,0.1,0.12,1.11
exit,Raphael Lacerda,MIBR,26 years,16097,45.3%,13620,1.18,75.9,5.2,893,23062,0.7,0.13,0.59,0.09,0.12,1.12
Savage,Bin Liu,TCG,33 years,15647,37.0%,13721,1.14,78.2,5.5,836,21434,0.73,0.13,0.64,0.09,0.09,1.08
